CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= I wish we had more money.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= Ahh rain! I needed a wash.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= Rain rain go away. Come back in an hour.
CONTEXTDIALOGUE_SPOUSE_WEATHER_RAINING |= I'm singin' in the precipitation!
CONTEXTDIALOGUE_SPOUSE_WEATHER_STORM |= There's an ill wind blowing. Must have been that cabbage.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= Winter's breath is so refreshing.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= What makes snow white?
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= Snowflakes are the Goddesses sifting flour.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= I love the smell of frost flakes in the morning.
CONTEXTDIALOGUE_SPOUSE_WEATHER_SNOWING |= Ice is nice, but wind blows.
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= Ooooh it's foggy! Dragons are out tonight!
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= I mist you.
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= Wooo it's spooky out.
CONTEXTDIALOGUE_SPOUSE_WEATHER_MIST |= Did you hear that noise in the fog? Me neither.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= This is nice.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= Can't beat a nice bit of relaxing.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= I like a bit of time to myself.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= Ahhhh nice and relaxing.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= I like being alone with my thoughts.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= Just gazing at the sky...
CONTEXTDIALOGUE_SPOUSE_GENERAL |= Nice to be able to unwind.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= Goddesses bless, winds caress, rest and slumber, strong as lumber.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= I love you in a way.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Love you so much.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Seeing you makes my heart flutter.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= I feel hot when you pass by.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= You mean the world to me.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Hello gorgeousness.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= My darling flitters by.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Hope you are happy my love.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Love you!
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Druida bless you my love.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Goddesses bless you darling.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Phwooor!
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Hello my sweetness.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Hi darling.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Stay safe.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= I hope we can rekindle the fire one day.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Have a good day.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= I hope you are well.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= What are you doing now?
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Nice to see you.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Stay positive.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= A little bit more romance wouldn't go amiss.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Hello there.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= Love may return one day.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= Stay safe.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= It's nice to have a friend.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= I wish things were back as they were.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= I still love you deep down, you know?
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= Doing well?
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= Please try harder.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Alright?
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Oh, you again.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Am well, thanks for asking.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= After the love has gone, how can we carry on?
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Hmmmph.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Oh, it's you.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Hope you are getting off your arse and doing something.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Oh it's you.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Uggghh.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Seeing your face makes me wish it was pitch dark.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Leave me alone
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Don't bother talking to me.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Back again? Pity.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Can't you go to Toughwood and get eaten?
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Hanging around like flies on a cowpat?
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Hrrrmmph.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= I think I found a nit. It's you!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Just tenderly tending.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Just letting you know I am talking about the crops to give context.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Lovely growth.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= The soil here is so brown.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= With love and care, the crop aint bare.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Summer is icumen in, loudly sing cuckoo.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Sickle and hoe, grow wheat grow.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Oh look at your fur!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= You are so soft.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Hungry little one?
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= A stroke as gentle as a feather...
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= So cute!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Such a wee little thing you are.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= So loyal!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Hello Mr Bee, have some honey for me?
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Honey is as sweet as can be.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= So sticky!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Fill a jar and you'll go far.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Just collecting some sweet nectar, my friends.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Buzz off!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= I just got stung by a bee...for 10 Brass!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Bee hive yourselves.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= This is nice.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= Can't beat a nice bit of relaxing.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= I like a bit of time to myself.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= Ahhhh nice and relaxing.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= I like being alone with my thoughts.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= Just gazing at the sky...
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= Nice to be able to unwind.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= Goddesses bless, winds caress, rest and slumber, strong as lumber.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= I hope this turns out well.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Tum di tum di tum.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Hmmm smells lovely.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Smells great.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Give it a good old stir.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Bubbling nicely.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Got to watch the pot!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= I am going stir crazy.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Looks delicious. Not sure about the smell.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Tasty!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Oh whisk and spoon, do please the moon...la la la.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Oh Mr Hare, my larder is bare.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Oh congratulations!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Praise be to the Goddesses on your union!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Happiness be on your union.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Married eh? Nicely done!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= The spirit of love has found its home in you both.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= I hope you had a lovely wedding day.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Druida's fruitful blessings be on your marriage.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Congratulations!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= Just married?
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= Congratulations.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= Heard you were just wed. Be happy.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= Hope your marriage goes well.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= A fruitful marriage for you.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= Oh married eh?
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Glad that wasn't me marrying you!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Unlucky for your spouse!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Hmmph.Who'd marry you?
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Bad luck be on your marriage!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Ha! Won't last!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Am shocked anyone would marry you.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= A curse on your marriage!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= I really couldn't care less!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Congratulations? No thanks.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= You married? So what?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= Happily married still I see!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= What's your secret of a good marriage?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= Still going strong with your spouse eh?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= A long happy marriage, it seems!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= I wish I was as happily married as you.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= Relationship still good?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= Nice to see you both happy.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Sad to see you so happy!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= It won't last!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= A happy marriage is for suckers.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Oh. Still married happily, unfortunately.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= No idea why your spouse is still with you.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= How does your spouse put up with you?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Is your spouse blind AND stupid?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= How can your spouse not smell you and leave?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Sad to see you both struggling.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= I thought you would both be happy longer.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= You should talk things over with your spouse.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Please heal your marriage.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= For your happiness, divorce or fix it!
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Marriage not going well?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Sorry to hear your love life is fading.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Is the sun going down on wedded bliss?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Marriage bad? Haha!
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= I knew it wouldn't last.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Spouse finally woke up eh?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= You should divorce and marry a fish.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Happy to see you so sad.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Couldn't happen to a worse person.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Relationship on the rocks like your brains eh?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Spouse saw the light finally!
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Sad to see your love life suffering. Not really.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Raining again!
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Ah rain. I needed a wash.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Ey oop! Raining!
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Rain rain go away.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= It's that fine rain that soaks you through.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= It's spittin'!
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Bit of rain hurt nobody. Except witches.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Bit of snow hurt nobody. Except witches allergic to snow.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Snow joke!
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Every flake is unique, like my warts.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Ahhh the tingle of snow on my nose.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= It is snowing. Obvious flavour text!
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Snowflakes are like my dandruff.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= What a bunch of snowflakes.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Need to sit by a hearthstone in this blizzard.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= I can't see fertiliser.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= I mist my turn off!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= It's a real leek souper.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Who goes there?
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Am I even on the right road here?
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= It's pretty murky out!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= I can't see anything.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= I need to get myself a horn.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Mister Mist go away!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= It's a foggy compo to find Clegg.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Gone but not fog-otten.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Dragon's breath!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Watch yourself in this fog!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Mind your step!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Aurore's farts it's foggy out!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= This is spooky.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Fog chills your spine.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Carpenter's love a good fog.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Stephen was king of the mist
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Fog off!
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I think I set my socks on fire.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I am having brainpoops.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= What was I saying to myself just then?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= This fog is as thick as I feel.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Which way wasn't I going?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I've forgotten more than you know.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Who am I again?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Hey look! It's...erm...shapes?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Is it just me or is everyone stupid today?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I could charm the horse off a shoe today.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Can't see much in that fog. Nor think much.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I just thought up an equation. I think it's a type of newt.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I would forget my own head if it wasn't nailed on with string.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= My head feels as empty as my larder.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= What was I walking this way for?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Oh dear, I put my underwear on upside down.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= What...is...ummm....thingy?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I wouldn't look in my brain today. Nothing down there.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= It's this thick fog that soaks your brain through.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Am I being dumb or am I just being dumb?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= It's obvious 2 plus 2 equals 22.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= This fog is about as dense as me.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I would happily buy a straw hammer today.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= My IQ is easily about 14, and I don't know what IQ is.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Did someone just walk off with my brain today?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I can spell every word beginning with 7.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I think I forgot to go to the toilet just now.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= A person could get lost in this erm, frog? Fob?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= I couldn't charm the ears off an eel right now.
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Be careful with that thing.
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Have you passed your pig riding proficiency test?
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Ride carefully!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Look at that pig fly!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Trot along!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= That pig smells of pepper.
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Woah there!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Streaky bacon!
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Anything biting?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Catch us a winner.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Any nibbles?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= There's one!
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Big ones in there.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= You are doing it all wrong.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Supper ahoy!
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Something fishy going on here.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Catch owt?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Caught anything good?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Ahhh can't beat a bit of angling.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Well smash my conkers! What a sight!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= You and whose pet army? What's an army anyway?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Nice bunch of followers you have there.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Awww how cute.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= That's hilarious!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Those are trained well!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Noah way!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Either those animals like you, or you smell.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= That's funny.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Here kitty!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Awww cute.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Nice pussycat.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Achoo!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= That cat has weird eyes.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Makes me want a new pet.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Look at that! A cat!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= I seem to be reacting to that cat.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Awww fluffy!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Don't dig up my garden!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Make sure you clean up after that!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Awww nice doggy.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= What a nice dog.
