CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= J'aurais voulu que nous ayons plus d'argent.
CONTEXTDIALOGUE_SPOUSE_GENERAL |= Les Déesses bénissent, les vents caressent, se reposent et s'endorment, forts comme du bois.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Je t'aime d'une certaine manière.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Je t'aime tellement.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Te voir fait battre mon coeur.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= J'ai chaud quand tu passes à coté de moi.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Tu représentes le monde pour moi.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Salut Beauté.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Ma chérie passe.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= J'espère que tu es heureuse mon amour.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Je t'aime!
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Que Druida te bénisse, mon amour.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Que les Déesses te bénissent, chéri.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Phwooor!
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Salut, douceur.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Salut Chéri.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LOVE |= Fais attention à toi.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= J'espère que nous pourrons raviver le feu un jour.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Bonne journée.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= J'espère que tu vas bien.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Qu'est-ce que tu es en train de faire là?
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Ravi de te voir.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Reste positive.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Un peu plus de romantisme ne ferait pas de mal.
CONTEXTDIALOGUE_SPOUSE_GENERAL_LIKE |= Salut toi.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= L'amour peut revenir un jour.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= Fais attention à toi.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= Ca fait du bien d'avoir un ami.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= J'aimerais que les choses redeviennent comme elles étaient.
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= Je t'aime toujours au fond, tu sais?
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= Ça va bien?
CONTEXTDIALOGUE_SPOUSE_GENERAL_FRIENDLY |= Essaie plus fort, s'il te plait.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Ca va?
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Oh, encore toi.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Ca va, merci de demander.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Après que l'amour soit parti, comment pouvons-nous continuer?
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Hmmmph.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Oh, c'est toi.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= J'espère que tu bouges ton cul et que tu fais quelque chose.
CONTEXTDIALOGUE_SPOUSE_GENERAL_NEUTRAL |= Oh c'est toi.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Uggghh.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Voir ton visage me donne envie qu'il fasse nuit noire.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Laisse-moi tranquille.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Ne t'embete pas à me parler.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= De retour? Pitié.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Tu ne peux pas aller à Toughwood et te faire manger?
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Tu traînes comme une mouche sur une bouse de vache?
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Hrrrmmph.
CONTEXTDIALOGUE_SPOUSE_GENERAL_DISLIKE |= Je pense que j'ai trouvé une andouille. C'est toi!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Juste prendre soin tendrement.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Juste que tu saches, je parle des cultures pour donner le contexte.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Jolie croissance.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= La terre ici est si brune.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Avec amour et soin, la récolte n'est pas nue.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= L'été est arrivé, chantez fort coucou.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_FARMING |= Faucille et houe, faites pousser du blé.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Oh regarde ta fourrure!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Tu es si doux.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Petit affamé?
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Un coup aussi doux qu'une plume...
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Si mignon!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Une si petite chose.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_PETS |= Si loyal!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Bonjour Mr Bee, vous auriez du miel pour moi?
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Le miel est aussi doux que possible.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Si collant!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Remplissez un bocal et vous irez loin.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Juste en train de récolter du doux nectar, mes amis.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Volez plus loin!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Je viens de me faire piquer par une abeille... pour 10 Brass!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_GET_HONEY |= Ruche toi-même.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= C'est sympa.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= Rien ne bat un bon moment de détente.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= J'aime avoir un peu de temps pour moi.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= Ahhhh sympa et relaxant.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= J'aime etre seul avec mes pensées.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= J'étais juste en train d'admirer le ciel...
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= C'est sympa de pouvoir se détendre.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_RELAX |= Les Déesses bénissent, les vents caressent, se reposent et s'endorment, forts comme du bois.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= J'espère que ca sera bon.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Tum di tum di tum.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Hmmm ca sent très bon.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Ca sent super bon.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Remue un bon coup.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Ca fait de jolies bulles.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Vas surveiller la casserole!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Je mélange follement.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Ca a l'air délicieux. Pas trop sur à propos de l'odeur par contre.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Délicieux!
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Oh fouet et cuillère, fais plaisir à la lune...la la la.
CONTEXTDIALOGUE_SPOUSE_ACTIVITY_COOK |= Oh Mr Lièvre, mon garde-manger est vide.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Oh Félicitations!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Louanges aux Déesses pour votre union!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Que le bonheur soit sur votre union.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Marrié hein? Bien joué!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= L'esprit d'amour a trouvé sa maison en vous deux.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= J'espère que tu as passé une belle journée de mariage.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Que les bénédictions fructueuses de Druida soient sur votre mariage.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_GOOD |= Félicitations!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= Jeune marié?
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= Félicitations.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= J'ai entendu dire que vous veniez de vous marier. Soyez heureux.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= J'espère que ton mariage se passera bien.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= Un mariage fructueux pour vous.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_NEUTRAL |= Oh marrié hein?
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Content que ce ne soit pas moi qui t'ai épousé!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Pas de chance pour votre moitié!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Hmmph. Qui vous a épousé?
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= La malchance soit sur votre mariage!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Ha! Ca durera pas!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Je suis choqué que quelqu'un t'épouse.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= La malédiction sur votre mariage!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Je m'en fiche complètement!
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Félicitations? Non merci.
CONTEXTDIALOGUE_GENERAL_JUST_MARRIED_BAD |= Vous, marié? Et alors?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= Toujours amoureux, je vois!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= Quel est votre secret pour un mariage heureux?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= Ca va toujours aussi fort avec votre moitié, hein ?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= Un marriage long et heureux, on dirait!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= J'aimerais être aussi heureusement marié que vous.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= La relation est toujours bonne?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_POSITIVE |= Ravi de vous voir tous les deux heureux.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Triste de vous voir si heureux!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Ca ne durera pas!
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Un mariage heureux c'est pour les pigeons.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Oh. Toujours heureux en amour, malheureusement.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Aucune idée de pourquoi votre moitié est toujours avec vous.
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Comment votre moitié fait pour vous supporter?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Est-ce que votre moitié est aveugle ET stupide?
CONTEXTDIALOGUE_GENERAL_MARRIED_GOOD_NEGATIVE |= Comment votre moitié ne peut-elle pas vous sentir et partir?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Triste de vous voir lutter tous les deux.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Je pensais que vous seriez tous les deux heureux plus longtemps.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Vous devriez parler avec votre moitié.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= S'il vous plait, prenez soin de votre mariage.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Pour votre bonheur, divorcer ou réparer la situation!
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Le mariage ne se passe pas bien?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Désolé d'apprendre que votre vie amoureuse s'estompe.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_POSITIVE |= Le soleil se couche-t-il sur le bonheur conjugal?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Mauvais mariage? Haha!
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Je savais que ca ne durerait pas.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Ta moitié s'est finalement réveillé hein?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Vous devriez divorcer et épouser un poisson.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Heureux de vous voir si triste.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Ça ne pouvait pas arriver à pire personne.
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Ta relation bat de l'aile comme ton cerveau hein?
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Ta moitié a vu la lumière, enfin!
CONTEXTDIALOGUE_GENERAL_MARRIED_BAD_NEGATIVE |= Triste de voir que votre vie amoureuse souffre. Pas vraiment.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Il pleut à nouveau!
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Ah la pluie. J'avais besoin d'une douche.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Ey oop! Il pleut!
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Pluie, pluie va-t-en.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= C'est cette pluie fine qui t'a complètement trempé.
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= C'est du crachin!
CONTEXTDIALOGUE_GENERAL_WEATHER_RAINING |= Un peu de pluie ne fait de mal à personne. Sauf aux sorcières.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Un peu de neige ne fait de mal à personne. Sauf aux sorcières allergiques à la neige.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Sans blague!
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Chaque flocon est unique, comme mes verrues.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Ahhh le picotement de la neige sur mon nez.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Il neige. Texte de saveur évident!
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Les flocons de neige sont comme mes pellicules.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Quelle bande de flocons de neige.
CONTEXTDIALOGUE_GENERAL_WEATHER_SNOWING |= Besoin de s'asseoir près d'un foyer dans ce blizzard.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Je ne vois pas d'engrais.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= I mist my turn off!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= C'est un souper très léger.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Qui va là?
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Suis-je seulement sur la bonne route ici?
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= C'est assez trouble dehors!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Je ne vois rien du tout.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Il faut qu eje me trouve une corne.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Monsieur Brume, vas-t-en!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= C'est une composition brumeuse pour trouver Clegg.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Parti mais pas oublié.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Le souffle du Dragon!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Attention à toi dans ce brouillard!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Attention où tu marches!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Les pets d'Aurore c'est brumeux!
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= C'est effrayant.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Le brouillard refroidit votre colonne vertébrale.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= L'amour du charpentier est un bon brouillard.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Stephen était le roi de la brume.
CONTEXTDIALOGUE_GENERAL_WEATHER_MIST |= Dégage!
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Je pense que j'ai mis le feu à mes chaussettes.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= J'ai des bouffées de cerveau.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Qu'est-ce que j'étais en train de me dire à ce moment-là ?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Ce brouillard est aussi épais que je le ressens.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Dans quelle direction n'étais-je pas en train d'aller?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= J'en ai oublié plus que vous ne le savez.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Qui suis-je déjà?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Hey regarde! Ce sont des...erm...formes?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= C'est juste moi ou tout le monde est stupide aujourd'hui?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Je pourrais charmer le cheval avec une chaussure aujourd'hui.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Je ne vois pas grand-chose dans ce brouillard. Ni penser beaucoup.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Je viens d'imaginer une équation. Je pense que c'est une sorte de triton.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= J'oublierais ma propre tête si elle n'était pas clouée avec de la ficelle.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Ma tête est aussi vide que mon garde-manger.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Pourquoi est-ce que je marchais de cette façon?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Oh mon dieu, j'ai mis mes sous-vêtements à l'envers.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Qu'est-ce que... c'est... euh... truc ?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Je ne regarderais pas dans mon cerveau aujourd'hui. Rien là-dessous.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= C'est ce brouillard épais qui imprègne votre cerveau.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Suis-je stupide ou suis-je simplement stupide ?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Il est évident que 2 plus 2 égale 22.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Ce brouillard est à peu près aussi denseet obtus que moi.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= J'achèterais volontiers un marteau de paille aujourd'hui.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Mon QI est facilement d'environ 14, et je ne sais pas ce qu'est le QI.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Est-ce que quelqu'un est parti avec mon cerveau aujourd'hui ?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Je peux épeler tous les mots commençant par 7.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Je crois que j'ai oublié d'aller aux toilettes à l'instant.
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Une personne pourrait se perdre dans cette erm, dune? Brume?
CONTEXTDIALOGUE_GENERAL_WEATHER_THICKFOG |= Je ne pourrais pas charmer les oreilles d'une anguille en ce moment.
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Soyez prudent avec cette chose.
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Avez-vous réussi votre test de compétence de conduite de cochon?
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Chevauchez prudemment! 
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Regardez ce cochon volant! 
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Trottons ensemble!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Ce cochon sent le poivre.
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Woah là!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= Lard!
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Ca mord?
