FEED_PIGS_TITLE |= Nourrir {0} cochon
FindJabberDesc |= Visit your Sibling for advice on how to reveal the Jabberwock.
Day11AshTaskName |= Ash Brown's Enigma
Day11Ash1 |= Meet Ash Brown in Cuckoo Wood
Day11Ash1Desc |= Ash Brown requests your company in Cuckoo Wood in search of an answer to an enigma...
Day11Ash2 |= Find and capture the Silver Skipper
Day11Ash2Desc |= Throw a pear into the glowing pool by the Face Tree and use a jar to capture it!
Day11Ash3 |= Return to Ash with your discovery
Day11Ash3Desc |= Show Ash your findings.
BuySickleTaskTitle |= Obtenez une Faucille du forgeron
BuySickle1 |= Parler à Jérémie
BuySickle1Desc |= Jeremie should be able to help you out in getting a sickle.
BuySickle2 |= Get Tin Ore from the mines
BuySickle2Desc |= Use a pickaxe near the mines in the north of Candlewych Village to acquire some Tin Ore.
BuySickle3 |= Return to Jeremie
BuySickle3Desc |= Return to Jeremie with your newly acquired Tin Ore.
BuySickle4 |= Fabriquer une Faucille en Etain
BuySickle4Desc |= Use the blacksmith equipment in the Village to craft a Tin Sickle.
MissingChickensTaskTitle |= Chickens missing!
MissingChickens1 |= Speak to Worzel Scrumpy
MissingChickens1Desc |= Worzel Scrumpy's chickens have gone missing. Speak to him for more information. He lives in Testy Acres. He's furious!
MissingChickens2 |= Find and return the chickens
MissingChickens2Desc |= Search for the missing chickens in the Vale. They are in a group of 3. Get them to follow you and bring them back to the coop.
MissingChickens3 |= Speak to Worzel Scrumpy
MissingChickens3Desc |= Talk to Worzel Scrumpy to get your reward.
MissingChickens4 |= Check Poppyhill Noticeboard
MissingChickens4Desc |= Find out about the missing chickens in Summerdown.
MissingChickens5 |= Speak to Rose about chickens
MissingChickens5Desc |= Rose Thorn's chickens have gone missing. Speak to her for more information. She lives in Homesteads. She's very worried!
MissingChickens6 |= Find and return the chickens
MissingChickens6Desc |= Search for the missing chickens in Summerdown. They are in a group of 3. Get them to follow you and bring them back to the coop.
MissingChickens7 |= Speak to Rose Thorn
MissingChickens7Desc |= Speak to Rose Thorn to get your reward.
MissingChickens8 |= Check Mellowbrook Noticeboard
MissingChickens8Desc |= Find out about the missing chickens in Mellowfield.
MissingChickens9 |= Speak to Frogg about chickens
MissingChickens9Desc |= Frogg the Hermit's chickens have gone missing. Speak to him for more information. He lives in Outlane. He's very annoyed!
MissingChickens10 |= Find and return the chickens
MissingChickens10Desc |=  Search for the missing chickens in Mellowfields. They are in a group of 3. Get them to follow you and bring them back to the coop.
MissingChickens11 |= Return to Frogg
MissingChickens11Desc |= Speak to Frogg to get your reward.
UnwellTaskTitle |= Woemarsh
Unwell1 |= Speak to mystery character
Unwell1Desc |= Someone is waiting for you at the gate to Dreadwaters in Frogmarsh. This region is in northern Woemarsh, which is to the far east beyond The Shingles.
Unwell2 |= Get Cleansing water
Unwell2Desc |= Go to the fountain in the north of the Fae Realm of Tir Na Nog and collect the liquid there. Return with it to Paige at the gate to Dreadwaters. Don't know where Tir Na Nog is? Well, perhaps that Obscura of yours holds the key...
Unwell3 |= Return to Paige
Unwell3Desc |= Talk to Paige by the gate to Dreadwaters in Frogmarsh.
Unwell4 |= Cleanse the Unwell
Unwell4Desc |= Take the Cleansing water to the Unwell and interact to use it. You do not need to have it equipped. Watch out for the inhabitant of Dreadwaters. If he catches you, it is instant death, and Mr Fairweather will have to revive you!
BuryingPastTaskTitle |= Find the Buried Chest
BuryingPastTaskDesc |= Follow the clues in Uncle Bill's diary and use a strong shovel to reach the lowest depth.\nA dog can't help you find this one!
WyrmTaskTitle |= Acquiring Abysstone
Wyrm1 |= Visit your sibling
Wyrm1Desc |= Go to speak to your sibling in Stonecrown.
Wyrm2 |= Speak to Mother Hubbard
Wyrm2Desc |= Go to Candlewych Cottage in the Vale and speak to Old Mother Hubbard.
Wyrm3 |= Bake the Lambton Pie
Wyrm3Desc |= Bake a Lambton Pie. Maybe make a few, you know, just in case.
Wyrm4 |= Speak to sibling
Wyrm4Desc |= Return to your sibling in Stonecrown.
Wyrm5 |= Find the Wyrm
Wyrm5Desc |= Search Woemarsh for the entrance to the mine where the Wyrm might be found. Dreadwaters is a good place to start.\nActually, it's a terrible place to start.
Wyrm6 |= Acquire Abysstone from the Wyrm
Wyrm6Desc |= Throw Lambton Pie to the Wyrm to make it drop Abysstone Ore
Wyrm7 |= Forge the Vorpal Sword
Wyrm7Desc |= Use any forge and select your vorpal sword mould and the Abysstone to create the Vorpal Sword.
SlayJabberTaskTitle |= Slay the Jabberwock
SlayJabberDesc |= Go into Toughwood during a storm with your Vorpal Sword and Hyalite Charm equipped to find and slay the Jabberwock.
StoryTaskTitle |= Investigate the Strange Door
Story1 |= Speak to Pott at a farm exit
Story1Desc |= Find Pott at any Willowdown Farm exit and speak to him.
Story2 |= Head out of the Vale via North Gate
Story2Desc |= Find the stone you saw in your dreams. It is somewhere to the north of the Vale.
Story3 |= Find the Monolith
Story3Desc |= Seek the stone monolith in The Circle. This region lies to the north, but you will need to go through Mellowfields to the west, or Summerdown to the east to reach it.
GrandmastersTaskTitle |= Seek the Grandmasters 
Grandmasters1 |= Learn Skills <VAR1>/5
Grandmasters1Desc |= Learn any 5 Skills total from any combination of Masters. Seek out Twig, Old Mother Hubbard, Jogon, Moon, Marshtyt and fulfil their requests. Any Skills you already gained will count towards the total. Then return to The Circle and stand on the stone pad. The sconces will light up by the stone pad to help you check your progress.
Grandmasters2 |= Stand on the stone pad
Grandmasters2Desc |= Stand on the stone pad in The Circle, just outside the large mysterious door.
Grandmasters3 |= Explorer la tombe
Grandmasters3Desc |= Enter the tomb in The Circle and find the Grandmasters.
BecomeLegendTaskTitle |= Become a Legend
BecomeLegendLevel1 |= Raise Renown to Neophyte (1)
BecomeLegendLevel2 |= Raise Renown to Novice (2)
BecomeLegendLevel3 |= Raise Renown to Apprentice (3)
BecomeLegendLevel4 |= Raise Renown to Journeyman (4)
BecomeLegendLevel5 |= Raise Renown to Craftsman (5)
BecomeLegendLevel6 |= Raise Renown to Artisan (6)
BecomeLegendLevel7 |= Raise Renown to Adept (7)
BecomeLegendLevel8 |= Raise Renown to Expert (8)
BecomeLegendLevel9 |= Raise Renown to Master (9)
BecomeLegendLevel10 |= Raise Renown to Legend (10)
BecomeLegend1Desc |= To complete the Task for The Wright, you must build your Reputation to raise your Renown level.\nYou can gain Reputation (REP) from...\nOWNING A BUSINESS: Interact with the Ledger on the counter of any Goods Store, Blacksmith or Apothecary to buy the shop.\nSLAYING MONSTERS: Enter any of the Dark Woods and fight to earn REP.\nMAKING FRIENDS: Gifting and doing Favours for NPCs will grant FP. At each Friendship tier you will gain some REP.\nWINNING CERTAIN EVENTS: Taking part in contests and events can grant some REP. Find out where and when they take place and keep an eye on your calendar.\nCOMPLETING TASKS AND FAVOURS: \nTalk to NPCs or read the local Noticeboard for tasks to grant some REP as well as the task reward.\nYou can check your REP gains and Renown level on the Player Progress screen.
BecomeLegend2 |= Return to the Grandmasters
BecomeLegend2Desc |= Go to the Grandmasters in the tomb in The Circle to claim your reward.
GrandmasterInstructions |= Go back into the world and raise your Reputation. When you have filled the Reputation Urn, the Grandmasters will summon you. \nThere are multiple ways you can fill the Urn...run businesses, kill monsters, befriend people, complete tasks and win certain events.\nYou can return to the Grandmasters at any time and summon them to check your standing, or view it via your Progress Screen. As your Renown grows, you will be rewarded at each milestone to 'encourage' your growth.
ReputationInstructions |= The Reputation Urn allows you to collect REP from various sources...\n• Raising friendship tiers\n• Slaying monsters\n• Completing tasks\n• Winning certain events\n• Owning a business and getting positive customer energy\n\nRunning a shop is the most effective way to earn REP. REP will allow you to unlock Perks for your business, via the Ledger. These Perks will help your Goods Store, Blacksmith or Apothecary become even more successful and efficient, thus bringing in even more REP and money.\n\nTo view your Reputation and Renown levels, select the Progress screen icon in the bottom left of the main play screen; via pressing <progress> and also via the Pause Menu.
MonolithHeading |= Monolithe
MonolithInstructions |= Within this tomb lay the Grandmasters of Legend. Heroes who forged The Agreement and who guard the Mirryr.\nIf you seek judgement of your worth, you must open the door.\nOnly those skilled may enter for consideration. Learn five skills and stand on the stone circle.\nThis will grant you entry only...judgement will come from the Mirryr itself.\n\nTwig woz ere.
BabyTaskTitle |= Baby Delivery
BabyTaskDesc |= Your baby will be delivered to your farm on <VAR2> Year <VAR1> between 7am and 7pm.\nIf not collected before 7pm they will be looked after by Pott and already in their crib.
UncleBDNoteHeading |= Birthday Present Wanted
UncleBDNoteDetails |= Hugs are fine but some sort of gift wouldn't go amiss. Urgently required at Willowdown Farm by Uncle Bill.
ChickensMissingValeHeading |= Chickens missing
ChickensMissingValeDetails |= Help needed. Chickens gone missing from Testy Acres. See Worzel Scrumpy.
ChickensMissingSummerdownHeading |= Chickens missing
ChickensMissingSummerdownDetails |= Help needed. Chickens gone missing from Homesteads. See Rose Thorn.
ChickensMissingMellowfieldHeading |= Chickens missing
ChickensMissingMellowfieldDetails |= Help needed. Chickens gone missing from Outlane. See Frogg the Hermit.
CureIllness3 |= Craft a Food Poisoning Cure
CureIllness3Desc |= Interact with any station in the apothecary mixing room. Choose Cures Food Poisoning from the Recipe book and mix the powder. All you need to do is chop and grind!
CureIllness4 |= Give Abdo-Mend powder to Uncle Bill
CureIllness4Desc |= Take the powder to Uncle Bill and gift it. That should soothe his troubles!
Lemmy SippDay5ApothGotDew |= Ahh just the ticket! Now then, go to any station in the mixing room and interact with it. We'll have you quacking like the best doctors in no time!
GoodStoreTrial2 |= Serve customers till 1 pm
GoodStoreTrial2Desc |= Look after the customers until Icabod returns around 1 pm.
Boots WintersDay5Crafted |= Oh well done! You made it. If you ever want to use our powder station then we will charge you a nominal fee of 5 Brass per item. We don't allow youngsters to use the Cream station or Potion station, as they are a bit too dangerous for young fingers!
FavourDelivery |= Deliver {1} x {0} to {2}
FavourGiftItems |= Give {1} x {0} to {2}
HomestoneTitle |= Discovered Homestone
HomestoneDesc |= Found status of <VAR1>
MissingTask1TaskTitle |= Rescue the missing child
MissingTask1Desc |= Go to Simplewood and the last room in any depth to rescue the missing child.
MissingTask2TaskTitle |= Recover the lost sword
MissingTask2Desc |= Go to Midwood and the last room in any depth to find the lost sword.
MissingTask3TaskTitle |= Find the prize cow
MissingTask3Desc |= Go to Toughwood and the last room in any depth to rescue the missing cow.
