SiblingHouse |= Meet your sibling
AnnualDance_Intro_Blossom |= Now, go enjoy yourself!
AnnualDance_Intro_Maypole |= Welcome one! Welcome all, to the Maypole dance that takes place here once every Summer.
AnnualDance_Intro_Maypole |= Today's marvellous event is a chance for each of us to celebrate our community and the connections we make with each other. Whilst we mostly just dance the day away together, there are meaningful gestures that can be made to your fellow villagers.
AnnualDance_Intro_Maypole |= If you wish to take part, just drop an item in the ring. If someone accepts your gesture they will step forward and claim the gift, bestowing you with great gratitude when they do.
AnnualDance_Intro_Maypole |= Now, go enjoy yourself!
AnnualDance_Intro_Samain |= Welcome one! Welcome all, to the Samain dance that takes place here once every Autumn.
AnnualDance_Intro_Samain |= Today's marvellous event is a chance for each of us to celebrate our community and the connections we make with each other. Whilst we mostly just dance the day away together, there are meaningful gestures that can be made to your fellow villagers.
AnnualDance_Intro_Samain |= If you wish to take part, just drop an item in the ring. If someone accepts your gesture they will step forward and claim the gift, bestowing you with great gratitude when they do.
AnnualDance_Intro_Samain |= Now, go enjoy yourself!
AnnualDance_Intro_Fel |= Welcome one! Welcome all, to the Festival of Fel dance that takes place here once every Winter.
AnnualDance_Intro_Fel |= Today's marvellous event is a chance for each of us to celebrate our community and the connections we make with each other. Whilst we mostly just dance the day away together, there are meaningful gestures that can be made to your fellow villagers.
AnnualDance_Intro_Fel |= If you wish to take part, just drop an item in the ring. If someone accepts your gesture they will step forward and claim the gift, bestowing you with great gratitude when they do.
AnnualDance_Intro_Fel |= Now, go enjoy yourself!

GhostTrader_Cursed_Popup |= You've been cursed for 48 hours.
