Pickup_Kynseed |= Kynseed
Pickup_Description_327 |= I had to trawl the internet for puns.
Pickup_328 |= Offal Tench
Pickup_Description_328 |= Smells like teen spirits. I say spirits...I mean armpits.
Pickup_329 |= Checkered Chub
Pickup_Description_329 |= Let's twist...its head off before eating it.
Pickup_330 |= Confiture de Fraise
Pickup_Description_330 |= What musical fruit do.
Pickup_331 |= Confiture de Myrtille
Pickup_Description_331 |= Makes you feel Weller.
Pickup_332 |= Tarte aux Myrtilles
Pickup_Description_332 |= Jack Horner's thumb swelled up due to Blueberry allergy. Ha!
Pickup_333 |= Tarte aux Pommes
Pickup_Description_333 |= Jobs a good 'un.
Pickup_334 |= Tarte aux Poissons
Pickup_Description_334 |= Swimming in gravy.
Pickup_335 |= Tarte aux Champignons
Pickup_Description_335 |= Fungi or fungal?
Pickup_337 |= Pain aux Pommes
Pickup_Description_337 |= Core blimey it's nice.
Pickup_338 |= Ortie
Pickup_Description_338 |= Don't be rash when picking it.
Pickup_340 |= Persil
Pickup_Description_340 |= Along with Sage, Rosemary and Thyme, form the 4 horseherbs of the apocalypse.
Pickup_341 |= Basilic
Pickup_Description_341 |= A bit faulty.
Pickup_342 |= Mente
Pickup_Description_342 |= A bit rich.
Pickup_343 |= Thym
Pickup_Description_343 |= 10 past 3
Pickup_344 |= Grave Lilac
Pickup_Description_344 |= Raised by the dead.
Pickup_345 |= Bloodfew
Pickup_Description_345 |= Actually pretty common.
Pickup_346 |= Coquelicot
Pickup_Description_346 |= I once got told that these flowers had reproductive organs. Poppycock!
Pickup_347 |= Bowing Nancy
Pickup_Description_347 |= Not found in any botany books because it's made up.
Pickup_348 |= Primrose
Pickup_Description_348 |= Vulgaris their middle name.
Pickup_349 |= Red Mine Key
Pickup_Description_349 |= Find a matching padlock.
Pickup_350 |= Blue Mine Key
Pickup_Description_350 |= Find a matching padlock.
Pickup_351 |= Green Mine Key
Pickup_Description_351 |= Find a matching padlock.
Pickup_352 |= Needlenip use
Pickup_Description_352 |= Manage your anger and take monster's head,\n But you shall not perform in bed.
Pickup_361 |= Moonfish location 1
Pickup_Description_361 |= Moonfish like to come and play,\n In any pond on even days.
Pickup_362 |= Moonfish location 2
Pickup_Description_362 |= Moonfish live up to their name,\n Under the moon they play their game.
Pickup_363 |= Moonfish Use
Pickup_Description_363 |= Moonfish makes you love and fight,\n But you will barely sleep at night.
Pickup_364 |= Flagfish location 1
Pickup_Description_364 |= In Summerdown, when wind is strong,\n Flagfish wave and sing their song.
Pickup_365 |= Flagfish location 2
Pickup_Description_365 |= Flagfish do not like the cold,\n In Winter their tales can't be told.
Pickup_366 |= Flagfish Use
Pickup_Description_366 |= Flagfish lets you see enemy life,\n But make you sleep like a bored housewife.
Pickup_367 |= Swamflatch location 2
Pickup_Description_367 |= Swamflatch glimp and gloob about,\n In Fairy rivers like small green sprouts.
Pickup_368 |= Swamflatch Use
Pickup_Description_368 |= Great for pranks and japes and visions,\n Swamflatch will cause friend divisions!
Pickup_369 |= Flickerfin location 1
Pickup_Description_369 |= Where Fairies dance and dour Gnomes sit,\n Flickerfin does flart and flit.
Pickup_370 |= Rainfish Use
Pickup_Description_370 |= Rainfish gift a magical thing,\n They make water bounce off your skin!
Pickup_371 |= River Trout location 1
Pickup_Description_371 |= In the Vale you will see,\n River Trout happy as can be.
Pickup_372 |= River Trout location 2
Pickup_Description_372 |= When sun has gone but before the night,\n River Trout wake and like to bite.
Pickup_375 |= Pumpkin location 1
Pickup_Description_375 |= Pumpkins are too big to boil,\n You find these things in Mellowfields soil.
Pickup_376 |= Pumpkin location 2
Pickup_Description_376 |= Pumpkins only sprout,\n When Autumn rain or snows about.
Pickup_377 |= Pumpkin Use
Pickup_Description_377 |= Pumpkin hale and hearty food,\n Coughs won't come and does you good.
Pickup_378 |= Firefish Use
Pickup_Description_378 |= Firefish twist and Firefish turn,\n Eat their flesh and you won't burn.
Pickup_379 |= Checkered Chub Use
Pickup_Description_379 |= Checkered Chub may be appealing,\n Mostly for its quality healing.
Pickup_380 |= Needlenip location 1
Pickup_Description_380 |= Catch it from the water, boy,\n In E'ergreen with cunning ploy.
Pickup_381 |= Needlenip location 2
Pickup_Description_381 |= Needlenip likes to show it's gills,\n More happy in the evening chills.
Pickup_382 |= Rotten Apple
Pickup_Description_382 |= Not good for anything...
Pickup_386 |= Fishie Wishie location 2
Pickup_Description_386 |= Legend says catch Fishy Wish,\n On Goddess Days to boost your dish.
Pickup_387 |= Lorianthe location 2
Pickup_Description_387 |= Upon morn's blissful, warming rays,\n Lorianthe swims in dreaming haze.
Pickup_389 |= Oeuf
Pickup_Description_389 |= Ova here.
Pickup_390 |= Chicken Drumstick
Pickup_Description_390 |= The edible kind.
Pickup_391 |= Farmers Stew
Pickup_Description_391 |= Carrot, Chou, Pork Chop
Pickup_392 |= Farmers Stew
Pickup_Description_392 |= Strength in arms.
Pickup_393 |= Night Milk
Pickup_Description_393 |= Carrot, Gingembre, Mushroom
Pickup_394 |= Night Milk
Pickup_Description_394 |= It's Always Sunny when you drink this.
Pickup_395 |= Tarte aux Pommes
Pickup_Description_395 |= Miel, Pomme, Gingembre
Pickup_396 |= Tarte aux Myrtilles
Pickup_Description_396 |= Miel, Pomme, Myrtille
Pickup_397 |= Tarte aux Fraises
Pickup_Description_397 |= Miel, Fraise, Pomme
Pickup_398 |= Tarte aux Fraises
Pickup_Description_398 |= Just like mother used to not make. Lazy old hag.
Pickup_399 |= Fruits of the Orchard
Pickup_Description_399 |= Pomme, Tomate, Grapes
Pickup_400 |= Fruits of the Orchard
Pickup_Description_400 |= Goddess Tier foodstuffs.
Pickup_401 |= Stirling Button Moss Stew
Pickup_Description_401 |= Parsley, Mushroom, Sweet Moss
Pickup_402 |= Stirling Button Moss Stew
Pickup_Description_402 |= See your GP after eating.
Pickup_403 |= Fish Pie
Pickup_Description_403 |= River Trout, Pike, Groseille
Pickup_404 |= Mushroom Pie
Pickup_Description_404 |= Mushroom, Coriander, Thyme
Pickup_405 |= Groseille
Pickup_Description_405 |= Don't step on them.
Pickup_406 |= Tarte aux Groseille
Pickup_Description_406 |= Just a single.
Pickup_407 |= Naida Effigy
Pickup_Description_407 |= Vines grasp and drain your opponents stats.
Pickup_408 |= Lovers Truffle
Pickup_Description_408 |= You won't get in a scuffle with a lover's truffle.
Pickup_409 |= Charmweed
Pickup_Description_409 |= Goes down smoothly.
Pickup_410 |= Copper Ore
Pickup_Description_410 |= Russet it all.
Pickup_411 |= Ploppalot Potion
Pickup_Description_411 |= S**** going down!
Pickup_414 |= Nap Star Powder
Pickup_Description_414 |= Down a load to get to sleep.
Pickup_417 |= Potion of Vivid Colours
Pickup_Description_417 |= Ever wanted to cry clouds of purple lasers? Take this.
Pickup_418 |= Salve-ation
Pickup_Description_418 |= A good rub for muscle pain.
Pickup_193 |= Épée en Cuivre
Pickup_Description_193 |= I thought they used truncheons? Strong vs Banshee & Croakers.
Pickup_419 |= Hob Tooth
Pickup_Description_419 |= Bite me.
Pickup_420 |= Vial of slime
Pickup_Description_420 |= He slimed me.
Pickup_421 |= Laiton
Pickup_Description_421 |= 
Pickup_422 |= River Trout Use
Pickup_Description_422 |= To avoid the bugs when they're about,\n Build your being with River Trout.
Pickup_423 |= Offal's Tench location 1
Pickup_Description_423 |= In Vale pools with rocks fast asleep,\n Offal's Tench patrol the deep.
Pickup_424 |= Offal's Tench location 2
Pickup_Description_424 |= When the sun rises in the sky,\n Offal's Tench will make you cry.
Pickup_425 |= Flickerfin location 2
Pickup_Description_425 |= When the sun does lay its head,\n Flickerfin do rise from bed.
Pickup_426 |= Flickerfin Use
Pickup_Description_426 |= Fast with resilience to being queasy,\n Flickerfin also makes you give in easy.
Pickup_427 |= Fishie Wishie location 1
Pickup_Description_427 |= You shall have a Fishy Wishie,\n Where the Gnomes fill their dishie.
Pickup_428 |= Offal's Tench Use
Pickup_Description_428 |= Smithy's swear by Offal's Tench,\n And often keep one on their bench.
Pickup_429 |= Checkered Chub location 1
Pickup_Description_429 |= In evening ponds, commit to brain,\n Checkered Chub twists again.
Pickup_430 |= Checkered Chub location 2
Pickup_Description_430 |= Checkered Chub stays away,\n From those bright summer's days.
Pickup_431 |= Fishie Wishie Use
Pickup_Description_431 |= Shyly gift to friend or give to foe,\n To change their inner being so.
Pickup_432 |= Lorianthe location 1
Pickup_Description_432 |= Lorianthe! O Carrath Sal Eg Carrath Gwuin,\n Neath waters dark O E'ergreen.
Pickup_433 |= Lorianthe Use
Pickup_Description_433 |= Bright you be and illness wanes,\n But clumsiness too affects your brains.
Pickup_434 |= Minnow location 2
Pickup_Description_434 |= Only as the great sun rises,\n Can Minnows be caught as little prizes.
Pickup_435 |= Minnow Use
Pickup_Description_435 |= Minnows may be very small,\n But they make your friendships tall.
Pickup_436 |= Swamflatch location 1
Pickup_Description_436 |= Tales tell of funny fish,\n Swamflatch swims where Gnomes make wish.
Pickup_437 |= Firefish location 1
Pickup_Description_437 |= On sunny days in pools by flowers,\n Firefish swim and gain their powers.
Pickup_438 |= Firefish location 2
Pickup_Description_438 |= When the trees are gold and brown,\n Firefish hide and can't be found.
Pickup_439 |= Minnow location 1
Pickup_Description_439 |= In Summerdown's shallow little ponds,\n Minnow gather in their throng.
Pickup_171 |= Sword Mould
Pickup_Description_171 |= The shape of things to cut.
Pickup_237 |= Tin Sword
Pickup_Description_237 |= For tin soldiers. Strong vs Hobs, Nobs & Lobs.
Pickup_164 |= Tin Ore
Pickup_Description_164 |= All mine.
Pickup_440 |= Obscura
Pickup_Description_440 |= A dark in light places...
Pickup_180 |= Shovel Mould
Pickup_Description_180 |= Get the hot scoop.
Pickup_441 |= Bucket Mould
Pickup_Description_441 |= Do not pale into insignificance.
Pickup_442 |= Copper Bucket
Pickup_Description_442 |= Use with proper conduct.
Pickup_443 |= Home Sweet Home
Pickup_Description_443 |= There's no place like it.
Pickup_444 |= Wooden Key
Pickup_Description_444 |= Travel via rootways. Bring sickbag.
Pickup_246 |= Tin Shovel
Pickup_Description_246 |= Does what it says on the shovel.
Pickup_202 |= Copper Shovel
Pickup_Description_202 |= Has quality in spades.
Pickup_201 |= Copper Sickle
Pickup_Description_201 |= Hay there, nice cut!
Pickup_89 |= Silverscale
Pickup_Description_89 |= Shimmers like shimmery things.
Pickup_166 |= Luminium Ore
Pickup_Description_166 |= Can make things light...literally.
Pickup_268 |= Luminium Shovel
Pickup_Description_268 |= A little light digging.
Pickup_267 |= Luminium Sickle
Pickup_Description_267 |= A little light cutting.
Pickup_259 |= Luminium Sword
Pickup_Description_259 |= A little light decapitating. Strong vs Fachen.
Pickup_445 |= Luminium Bucket
Pickup_Description_445 |= The preference of pale-entologists.
Pickup_446 |= Purple Dye
Pickup_Description_446 |= The colour used by cannibals.
Pickup_447 |= Flickerfin
Pickup_Description_447 |= Fools fry fat flat fish on a fat flat fish fryer.
Pickup_448 |= Fishie Wishie
Pickup_Description_448 |= Named by a 6 year old.
Pickup_449 |= Swamflatch
Pickup_Description_449 |= A bizarre fish that is allergic to water but just doesn't know it.
Pickup_450 |= Sugar Plums
Pickup_Description_450 |= They taste great with nuts and crackers.
Pickup_451 |= Gummy Mushroom
Pickup_Description_451 |= I can't bear to eat any more.
Pickup_452 |= Funflower
Pickup_Description_452 |= Laughter rose.
Pickup_453 |= Pork Tree Seed
Pickup_Description_453 |= Sow them.
Pickup_454 |= Funflower Seed
Pickup_Description_454 |= Happiness comes and spreads its seeds.
Pickup_455 |= Songstrell Seed
Pickup_Description_455 |= Plant these to make sweet(corn) music.
Pickup_456 |= Songstrell Flower
Pickup_Description_456 |= I don't like their tone.
Pickup_457 |= Pink Dye
Pickup_Description_457 |= Not a death threat against singers!
Pickup_458 |= Green Dye
Pickup_Description_458 |= Makes you look tres cool.
Pickup_459 |= Yum
Pickup_Description_459 |= It's like eating glue. Because it basically is.
Pickup_460 |= Gummyyum Pie
Pickup_Description_460 |= You won't be hasty with this pastry.
Pickup_461 |= Fishywish Pie
Pickup_Description_461 |= Don't get crumbs on your genies.
Pickup_462 |= Fairy Cake
Pickup_Description_462 |= So light they fly.
Pickup_463 |= Blood Red Dye
Pickup_Description_463 |= You go on a head and I'll ketchup.
Pickup_464 |= Blonde Dye
Pickup_Description_464 |= Gone platinum.
Pickup_465 |= Black Dye
Pickup_Description_465 |= A jet wash.
Pickup_466 |= Grey Dye
Pickup_Description_466 |= Just one shade, not fifty.
Pickup_467 |= Ginger Dye
Pickup_Description_467 |= A spicy colour.
Pickup_468 |= Brown Dye
Pickup_Description_468 |= Don't spill it on your trousers.
Pickup_469 |= Blue Dye
Pickup_Description_469 |= Azure you want this?
Pickup_470 |= H.Pepper's Naming Nut
Pickup_Description_470 |= Be my Guest.
Pickup_471 |= White Rose
Pickup_Description_471 |= Used to initiate marriage.
Pickup_472 |= Pie of You and I
Pickup_Description_472 |= Traditional pie for marriage rituals.
Pickup_473 |= Pie of You and I
Pickup_Description_473 |= Charmweed, Charmweed, Charmweed
Pickup_474 |= Apple Bread
Pickup_Description_474 |= Pomme, Gingembre, Nightberry
Pickup_484 |= Citrouille
Pickup_Description_484 |= It's a bit of a squash in here.
Pickup_485 |= Laitue
Pickup_Description_485 |= Just the tip of the iceberg.
Pickup_486 |= Radis
Pickup_Description_486 |= Kind of cool.
Pickup_489 |= Orchidée
Pickup_Description_489 |= Not a young orc.
Pickup_490 |= Tournesol
Pickup_Description_490 |= Oil be dammed, it's tall.
Pickup_491 |= Chardon
Pickup_Description_491 |= Belongs to Patrick.
Pickup_492 |= Pink Rose
Pickup_Description_492 |= Thorn industries.
Pickup_493 |= Camomille
Pickup_Description_493 |= Absolutely balmy.
Pickup_494 |= Cataire
Pickup_Description_494 |= Eat it after a catnap.
Pickup_495 |= Gingembre
Pickup_Description_495 |= A sporty kind of posh baby spice.
Pickup_496 |= Tarte aux Citrouille
Pickup_Description_496 |= Hello, weenies.
Pickup_497 |= Peggy Soup
Pickup_Description_497 |= Add a sprig of budding holly.
Pickup_498 |= Bush Medley
Pickup_Description_498 |= Has you running up that hill.
Pickup_499 |= Hodgepodgestodge
Pickup_Description_499 |= Ingredients thrown together, are thrown up together.
Pickup_500 |= Soup Herman
Pickup_Description_500 |= Man, you need a steel stomach for this.
Pickup_503 |= Graine d'Orge
Pickup_Description_503 |= A Hops Kip and a Jump.
Pickup_504 |= Graine de Citrouille
Pickup_Description_504 |= Cultivarted.
Pickup_505 |= Graine de Laitue
Pickup_Description_505 |= Pip of the iceberg.
Pickup_506 |= Rabbit Corndoll
Pickup_Description_506 |= Makes your hare stand on end.
Pickup_507 |= Sunflower Seed
Pickup_Description_507 |= From tiny things do giants grow.
Pickup_481 |= Eel
Pickup_Description_481 |= Ongated.
Pickup_482 |= Pike
Pickup_Description_482 |= It's just a fish, stupid boy.
Pickup_483 |= Barbel
Pickup_Description_483 |= Quite heavy.
Pickup_161 |= Zinc Ore
Pickup_Description_161 |= Bless you!
Pickup_508 |= Graine de Radis
Pickup_Description_508 |= Makes you horse.
Pickup_15 |= Orge
Pickup_Description_15 |= Charley Farley loves it.
Pickup_509 |= Freyl Effigy
Pickup_Description_509 |= Transforms one enemy into a bashable scarecrow.
Pickup_177 |= Ward Mould
Pickup_Description_177 |= A mould used for blacksmithing.
Pickup_174 |= Jewellery Mould
Pickup_Description_174 |= A mould used for blacksmithing.
Pickup_213 |= Zinc Shovel
Pickup_Description_213 |= I dig it.
Pickup_212 |= Zinc Sickle
Pickup_Description_212 |= Come a cropper.
Pickup_510 |= Zinc Bucket
Pickup_Description_510 |= You can't handle the truth.
Pickup_265 |= Luminium Ward
Pickup_Description_265 |= Brighten up! Chance to reduce Fachen damage.
Pickup_210 |= Zinc Ward
Pickup_Description_210 |= Nymph Blob Node effect fail chance.
Pickup_199 |= Copper Ward
Pickup_Description_199 |= Banshee scream damage reduction.
Pickup_243 |= Tin Ward
Pickup_Description_243 |= Hob, Nob, Lob damage reduced.
Pickup_204 |= Épée en Zinc
Pickup_Description_204 |= Better than paper swords. Strong vs Nymphs.
Pickup_196 |= Bijoux en Cuivre
Pickup_Description_196 |= Brace yourself.
Pickup_262 |= Bijoux en Luminium
Pickup_Description_262 |= Light to wear.
Pickup_240 |= Bijoux en Etain
Pickup_Description_240 |= Cheapskate.
Pickup_207 |= Bijoux en Zinc
Pickup_Description_207 |= You shouldn't have.
Pickup_511 |= Tarte à la Citrouille
