PIG_RACING |= Pig Racing
SkillName_Radius |= Radius
SkillDesc_Radius |= Larger catchment radius.
SkillName_Lure |= Lure
SkillDesc_Lure |= Large nibble radius that nearly always lures a fish.
SkillName_Multidrag |= Multidrag
SkillDesc_Multidrag |= Can grab multiple fish as you reel in with dragging.
SkillName_Hardy |= Hardy
SkillDesc_Hardy |= Can plant seeds in all seasons.
SkillName_Reproduce |= Reproduce
SkillDesc_Reproduce |= Vegetables give seeds when cut down while ripe.
SkillName_Hydrate |= Hydrate
SkillDesc_Hydrate |= Plant waters itself after the first day of watering.
SkillName_Tasty |= Tasty
SkillDesc_Tasty |= Adds 1 star to planted crops.
SkillName_Quick_Grow |= Quick Grow
SkillDesc_Quick_Grow |= Plants grow in one less day.
SkillName_Never_Rot |= Never Rot
SkillDesc_Never_Rot |= Can never get rotten fruit even if cursed by Brounies.
SkillName_Bounty |= Bounty
SkillDesc_Bounty |= Plants have a double yield!
SkillName_Supersweet |= Supersweet
SkillDesc_Supersweet |= Fruit never burns or goes cold in cooking.
SkillName_Jamboree |= Jamboree
SkillDesc_Jamboree |= Get double jam yield.
SkillName_Pie2 |= Pie2
SkillDesc_Pie2 |= Get double pie yield.
SkillName_Culinary_Magic |= Culinary Magic
SkillDesc_Culinary_Magic |= Save a burned or poor quality crafted item by regaining at one lost quality star.
SkillName_JoinTheClub |= Join the Club
SkillDesc_JoinTheClub |= Triple yield from sandwiches and bread.
SkillName_RodsStewArt |= Rod's Stew Art
SkillDesc_RodsStewArt |= Get double stews and soup yield.
SkillName_CherryOnTop |= Cherry on Top
SkillDesc_CherryOnTop |= 50% chance desserts gain 1 extra star.
SkillName_DoughNut |= Dough Nut
SkillDesc_DoughNut |= As an expert with dough, you get a bit more dough for pie rolling.
SkillName_Tri_Combo |= Tri Combo
SkillDesc_Tri_Combo |= 3rd combo strike.
SkillName_Extra_Pet |= Pet Support
SkillDesc_Extra_Pet |= Gain an extra pet slot.
SkillName_Syphon |= Syphon
SkillDesc_Syphon |= Crits steal enemy stamina and give it to you.
SkillName_Goddess_Power |= Goddess Power
SkillDesc_Goddess_Power |= Can use effigies in combat.
SkillName_Second_Wind |= Second Wind
SkillDesc_Second_Wind |= Player is not killed and gets a quarter of health bar back.
SkillName_Boundless |= Boundless
SkillDesc_Boundless |= Every 50 stamina used, the player enters a zen-like mode where they have x seconds of infinite stamina.
SkillName_Hammerfall |= Hammerfall
SkillDesc_Hammerfall |= 10 parries in a row causes Jogon to leap straight down and shockwave all enemies with damage and stun.
SkillName_Strongarm |= Strong Arm
SkillDesc_Strongarm |= Don't lose stamina while aiming.
SkillName_Scavenge |= Scavenge
SkillDesc_Scavenge |= 33% chance to retain an arrow after each combat area.
SkillName_Finisher |= Finisher
SkillDesc_Finisher |= If a non-large enemy has less than 10% health an arrow will finish them.
SkillName_ReflectingArrow |= Reflecting Arrow
SkillDesc_ReflectingArrow |= Chance arrow may hit one target then go hit another.
SkillName_SplitArrow |= Split Arrow
SkillDesc_SplitArrow |= 4 arrows are shot and spread amongst enemies.
SkillName_Headshot |= Headshot
SkillDesc_Headshot |= Crits do 25% more damage and lower Strength by 3 permanently.
SkillName_ElementalMate |= Elemental Mate
SkillDesc_ElementalMate |= Arrows have a 10% chance to be ice/fire/lightning.
SkillName_Moonrise |= Moonrise
SkillDesc_Moonrise |= Moon appears when you use the bow at low health to rain down arrows onto one enemy.
SkillName_Brassfinder |= Brassfinder
SkillDesc_Brassfinder |= Chopping down long grass can sometimes yield Brass.
SkillName_Jarfinder |= Jarfinder
SkillDesc_Jarfinder |= Chance to find 2 x jars in digspots.
SkillName_MiningExpert |= Mining Export
SkillDesc_MiningExpert |= Mining produces one extra ore.
SkillName_HappyCamper |= Happy Camper
SkillDesc_HappyCamper |= You can sleep at any campfire around the world.
SkillName_KnockerFriend |= Knockerfriend
SkillDesc_KnockerFriend |= Knockers won't attack you or boot you from the mine.
SkillName_Duggernaut |= Duggernaut
SkillDesc_Duggernaut |= Add 2 depths to your shovel's range.
SkillName_Knockerworkers |= Knockerworkers
SkillDesc_Knockerworkers |= Knockers leave piles of ore.
SkillName_NaturesBounty |= Nature's Bounty
SkillDesc_NaturesBounty |= Add 1 star and extra yield to wild growables.

GoddessOffering_HelpName |= Offerings Help
GoddessOffering_Help |= It's Goddess Day, so time to make an offering. Goddesses are paired; make an offering to one Goddess for a Blessing and her rival will give you a Curse.\n\nPush <up> or <down>, or use the mousewheel to select each Goddess pairing.\n\nEach Goddess has 4 Blessings available; with each requiring an item with a different star rating.\n\nPush <left> or <right> or highlight with the mouse cursor to choose one of the 8 Blessings available for each pair of Goddesses.\n\nSelect a Blessing and offer an appropriate item to activate it.\n\nSelecting a Blessing will always cause a Curse from the rival goddess, so check those before committing to an offering.\n\nThe Blessings and Curses last for one week. You only need to make at least one offering.\n\nNot making any offering will give you a random Curse from the offended Goddesses!
GoddessOfferingDescBoon1Druida |= Low chance for any collected berry to yield two.
GoddessOfferingDescBoon2Druida |= Medium chance for any collected fruit to yield two.
GoddessOfferingDescBoon3Druida |= High chance for any collected fruit or berry to yield two.
GoddessOfferingDescBlessingDruida |= Each collected fruit or berry has two additional quality stars.
GoddessOfferingDescJinx1Druida |= Only one fruit or berry to be collectible from each tree or bush.
GoddessOfferingDescJinx2Druida |= Fruits and berries take one additional day to replenish.
GoddessOfferingDescJinx3Druida |= All harvested fruits and berries will be limited to one star quality.
GoddessOfferingDescCurseDruida |= No fruit or berries grow on the farm.
GoddessOfferingDescBoon1Freyl |= Low chance for a harvested growable to yield two.
GoddessOfferingDescBoon2Freyl |= Medium chance for a harvested crop to yield two.
GoddessOfferingDescBoon3Freyl |= Random in-season crop given with every crop harvested.
GoddessOfferingDescBlessingFreyl |= Each collected crop has two additional quality stars.
GoddessOfferingDescJinx1Freyl |= Each crop limited to yielding a single item.
GoddessOfferingDescJinx2Freyl |= Crops take an additional day to grow.
GoddessOfferingDescJinx3Freyl |= Crops limited to one star quality.
GoddessOfferingDescCurseFreyl |= Crops do not grow.
GoddessOfferingDescBoon1Aurore |= Chance to gain an extra quality star from each mined node.
GoddessOfferingDescBoon2Aurore |= Gain more friendship points when interacting with villagers during sunny weather.
GoddessOfferingDescBoon3Aurore |= Each collected herb yields two.
GoddessOfferingDescBlessingAurore |= Out of season crops can be grown. On the farm only.
GoddessOfferingDescJinx1Aurore |= Ore nodes take an additional day to replenish.
GoddessOfferingDescJinx2Aurore |= Gain less friendship points when interacting with villagers during rainy weather.
GoddessOfferingDescJinx3Aurore |= Herbs do not grow
GoddessOfferingDescCurseAurore |= All growables and fish on Willowdown Farm are subjected to Winter conditions
GoddessOfferingDescBoon1Naida |= No Misfires.
GoddessOfferingDescBoon2Naida |= Low chance to find seeds from grass cut with a sickle.
GoddessOfferingDescBoon3Naida |= Babies more likely.
GoddessOfferingDescBlessingNaida |= Children learn and gain XP twice as quickly.
GoddessOfferingDescJinx1Naida |= Misfire more likely.
GoddessOfferingDescJinx2Naida |= Children learn and gain XP slower.
GoddessOfferingDescJinx3Naida |= Babies unlikely.
GoddessOfferingDescCurseNaida |= All children in the household become frogs.
GoddessOfferingDescBoon1Hyalis |= Chickens lay an extra egg each day.
GoddessOfferingDescBoon2Hyalis |= Chance to regain an item used in combat.
GoddessOfferingDescBoon3Hyalis |= Fish spawn rate increased.
GoddessOfferingDescBlessingHyalis |= Free resurrection in combat.
GoddessOfferingDescJinx1Hyalis |= Bees do not produce honey.
GoddessOfferingDescJinx2Hyalis |= Chickens do not lay.
GoddessOfferingDescJinx3Hyalis |= Fish spawn rate decreased.
GoddessOfferingDescCurseHyalis |= Spouse, kids and pets become ancient.
GoddessOfferingDescBoon1Morvenna |= Regain 1 arrow per room.
GoddessOfferingDescBoon2Morvenna |= Monster crit chance decreased.
GoddessOfferingDescBoon3Morvenna |= Pet abilities up.
GoddessOfferingDescBlessingMorvenna |= Pets automatically fed and happy.
GoddessOfferingDescJinx1Morvenna |= Chance of no loot from each monster.
GoddessOfferingDescJinx2Morvenna |= Pet combat ability recharge time increased.
GoddessOfferingDescJinx3Morvenna |= Each looted item loses one quality star.
GoddessOfferingDescCurseMorvenna |= No arrows available in combat.
GoddessOfferingBoon1Druida |= Very Berry
GoddessOfferingBoon2Druida |= Bumpin' Rind
GoddessOfferingBoon3Druida |= Nick Berries
GoddessOfferingBlessingDruida |= Super Star Fruit
GoddessOfferingJinx1Druida |= Withering Heights
GoddessOfferingJinx2Druida |= Slo-Gro
GoddessOfferingJinx3Druida |= Bad Nature
GoddessOfferingCurseDruida |= Fruitless
GoddessOfferingBoon1Freyl |= Matching Plants
GoddessOfferingBoon2Freyl |= Crop Top
GoddessOfferingBoon3Freyl |= Wild Oats
GoddessOfferingBlessingFreyl |= Salad Days
GoddessOfferingJinx1Freyl |= Slim Pickings
GoddessOfferingJinx2Freyl |= Slow Sprouts
GoddessOfferingJinx3Freyl |= Soiled Goods
GoddessOfferingCurseFreyl |= Mutiny on the Bounty
GoddessOfferingBoon1Aurore |= Ore Blimey!
GoddessOfferingBoon2Aurore |= Cheery Sun
GoddessOfferingBoon3Aurore |= Herbivoracious
GoddessOfferingBlessingAurore |= Unseasonal Bounty
GoddessOfferingJinx1Aurore |= Geological Speed
GoddessOfferingJinx2Aurore |= Blue Rain
GoddessOfferingJinx3Aurore |= No Natural Ingredients
GoddessOfferingCurseAurore |= Eternal Winter
GoddessOfferingBoon1Naida |= Performance Enhancement
GoddessOfferingBoon2Naida |= Super Grass
GoddessOfferingBoon3Naida |= Stud Farmer
GoddessOfferingBlessingNaida |= Nice Little Learner
GoddessOfferingJinx1Naida |= The Early Worm
GoddessOfferingJinx2Naida |= Oaf of Bred
GoddessOfferingJinx3Naida |= Lazy Stork
GoddessOfferingCurseNaida |= Frogchild
GoddessOfferingBoon1Hyalis |= Eggstra! Eggstra!
GoddessOfferingBoon2Hyalis |= Frugal Fighting
GoddessOfferingBoon3Hyalis |= Pond Life
GoddessOfferingBlessingHyalis |= 1-UP
GoddessOfferingJinx1Hyalis |= Worker's Strike
GoddessOfferingJinx2Hyalis |= Lay-Offs At The Coop
GoddessOfferingJinx3Hyalis |= De-spawn Point
GoddessOfferingCurseHyalis |= Retirement Home
GoddessOfferingBoon1Morvenna |= Dart More
GoddessOfferingBoon2Morvenna |= Clumsy Critters
GoddessOfferingBoon3Morvenna |= Animal Magic
GoddessOfferingBlessingMorvenna |= Pet Care
GoddessOfferingJinx1Morvenna |= Monsters With No Pockets
GoddessOfferingJinx2Morvenna |= Cat Nap
GoddessOfferingJinx3Morvenna |= Spoiled Spoils
GoddessOfferingCurseMorvenna |= Quiver Me Timbers!
Bubble_Name_Stove |= Stove
Bubble_Desc_Stove |= The Stove is where you can cook and bake various recipes. Cooked food has stronger trait effects than raw food and longer duration based on Star Rating. Cooked food also has a higher value.
Bubble_Name_BlacksmithLedger |= Smithy Ledger
Bubble_Desc_BlacksmithLedger |= The Ledger lets you hire and fire staff, change wages and hours worked, check your accounts, unlock Perks etc. Use the tabs on the left side of the ledger to view the various options. The Smithy allows for the hiring of 2 staff, and you can assign who works the counter and the forge.
Bubble_Name_ApothecaryLedger |= Apothecary Ledger
Bubble_Desc_ApothecaryLedger |= The Ledger lets you hire and fire staff, change wages and hours worked, check your accounts, unlock Perks etc. Use the tabs on the left side of the ledger to view the various options. The Apothecary allows for the hiring of 1 staff.
Bubble_Name_GoodStoreLedger |= Goods Store Ledger
Bubble_Desc_GoodStoreLedger |= The Ledger lets you hire and fire staff, change wages and hours worked, check your accounts, unlock Perks etc. Use the tabs on the left side of the ledger to view the various options.
Bubble_Name_ApothecaryGrind |= Apothecary Powders
Bubble_Desc_ApothecaryGrind |= Interact to make a cure. Choose your cure from the Recipe book. For more help during the crafting section, choose the Help option onscreen during the minigame.
Bubble_Name_ApothecaryInfusion |= Apothecary Creams
Bubble_Desc_ApothecaryInfusion |= Interact to make a cure. Choose your cure from the Recipe book. For more help during the crafting section, choose the Help option onscreen during the minigame.
Bubble_Name_ApothecaryDistill |= Apothecary Potions
Bubble_Desc_ApothecaryDistill |= Interact to make a cure. Choose your cure from the Recipe book. For more help during the crafting section, choose the Help option onscreen during the minigame.
Bubble_Name_OfferingPlinth |= Brounie Bowl
Bubble_Desc_OfferingPlinth |= After the Prologue, you will need to make daily offerings to appease the clan Brounie. Your spouse can make these offerings for you. You gain a jinx for each day missed but offering will remove them one by one. Maximum jinx level is 5. The type of offering does not matter.
Bubble_Name_GoddessStatue |= Goddess Statue
Bubble_Desc_GoddessStatue |= Use Goddess Statues on Goddess Day (7 and 14) to gain boons. For more help on the offering system, use the Help button when offering.\nYou can also fast travel to any other unlocked Goddess Statue at the cost of 1 apple, and view the current boon/jinx status.
Bubble_Name_Scheduler |= Family Scheduler
Bubble_Desc_Scheduler |= When married/with a family, use this Family Scheduler to give your family orders. They will carry out the tasks you set. A player may also send a family member over 18 to forage. You can equip them to help the quality and amount they find, and dictate where they go. A family member sent into a combat zone may be injured but will not die. You can use the tabs at the top of the interface to navigate.
Bubble_Name_Well |= Well
Bubble_Desc_Well |= Press <interact> next to the well or use a tin bucket/jar to fill with water. Bucket water can be poured out and will fill water troughs.
Bubble_Name_Trough |= Trough
Bubble_Desc_Trough |= Get a tin bucket and fill it with water from the well, then pour it by the trough to fill it. Rain also fills the trough. Animals who are thirsty get unhappy after a few days.
Bubble_Name_BeeHive |= Ruche
Bubble_Desc_BeeHive |= Use a jar or bucket next to a hive to fill it with honey. You can just press <interact> to auto fill a container, or hold an empty container and use it next to the hive. Honey can be used in many recipes. The dots on the hive show if the hive has honey in it. Bees will restock daily.
Bubble_Name_Cow |= Cow
Bubble_Desc_Cow |= Cows are immortal and give milk. Use a tin bucket or jar on the cow to get milk. Cows don't need to be fed. It is believed that they are cursed people who offended the Goddesses, but if someone tells you that, simply say "Pull the udder one".
Bubble_Name_FarmableArea |= Crop Square
Bubble_Desc_FarmableArea |= Interact with a crop square to bring up the list of available seeds to plant. Use [help] to view the status of your crops. A green dot means they have been watered that day (use a watering can or rain), and the amount of dots is how many days til it is ready to be harvested. Try use your sickle to harvest crops, as the sickle levels up and gives you bonuses.
Bubble_Name_XXXXX |= Goods Store prize table
Bubble_Desc_XXXXX |= Place your best item here for a bonus payment.
Bubble_Name_ShopWindowPlinth |= Goods Store window table
Bubble_Desc_ShopWindowPlinth |= Items placed in the window may draw in window shoppers, so put good items here.
Bubble_Name_ShopPlinth |= Goods Store plinth
Bubble_Desc_ShopPlinth |= You can place items on these plinths to sell. Set the price after placing however many you wish to stack on the shelf.
Bubble_Name_BlacksmithCrafting |= Smithy forge
Bubble_Desc_BlacksmithCrafting |= Use the forge to craft tools. Use the Help button within the minigames to access info on what you are doing and the controls.
Bubble_Name_BlacksmithStock |= Smithy storage
Bubble_Desc_BlacksmithStock |= You can send forged tools here for customers who want off the shelf solutions to their problems. Your workers will also use what is stored to sell to customers, so always try keep some stock. You can also order stock from here.
Bubble_Name_ApothCabinet |= Apothecary shelves
Bubble_Desc_ApothCabinet |= When a patient requires a cure, you can craft them while they wait or look on your shelves for items you crafted previously and stored in advance.
Bubble_Name_ApothMatStorage |= Apothecary ingredient storage
Bubble_Desc_ApothMatStorage |= Place materials here for your staff to use to craft cures. You can also order stock from here.
Bubble_Name_Pantry |= Larder
Bubble_Desc_Pantry |= You can store ingredients in the larder for your spouse/family to use in cooking. If they are hungry and have no recipe they can cook, they will eat raw ingredients stored here. Anything they cook and don't eat will be stored here for you to collect.
Bubble_Name_Sign |= Open/Close sign
Bubble_Desc_Sign |= Use the sign to open and close your business. Staff will open and close the store automatically when they start and finish work. You can still do things in your business when it is closed, and is a good time to craft/take stock.
Bubble_Name_HighPriest |= High Priest
Bubble_Desc_HighPriest |= The High Priest can help with marriages and divorce. They can also bless water for you to use in combat.
Bubble_Name_Master |= Master
Bubble_Desc_Master |= Gift the items the Master requires to unlock skills. Check the star rating and amount as part of their requirements. Master's are Goddess blessed so can't be married and live a very long time.
Bubble_Name_Trader |= Trader
Bubble_Desc_Trader |= Choose the signpost option when interacting with the Trader to browse his wares. He moves around the world so try gain the information that will be added to your calendar on where and when he will turn up.
Bubble_Name_AppleTree |= Fruit Tree/Plant
Bubble_Desc_AppleTree |= Interact to shake down fruit. Find proverbs and utilise boons to increase star rating. Use the slingshot to knock down fruit which will level up your slingshot.
Bubble_Name_BerryBush |= Berry Bush
Bubble_Desc_BerryBush |= Interact to shake off berries. Find proverbs and utilise boons to increase star rating. Use the slingshot to knock down berries which will level up your slingshot.
Bubble_Name_ItemSack |= Foraging Sack
Bubble_Desc_ItemSack |= Collect your spouse/family gatherings from this sack.
Bubble_Name_Bed |= Bed
Bubble_Desc_Bed |= Sleep to save the game (even 1 hour will do). The game saves at 6am automatically on top of that. 
Bubble_Name_MiningPoint |= Ore seam
Bubble_Desc_MiningPoint |= Use the pickaxe to on these to collect ore for blacksmith crafting. Your pickaxe will level up with use, granting perks such as more yields. Ore will respawn after a certain number of days depending on the ore type and boons active.
Bubble_Name_Outhouse |= Outhouse
Bubble_Desc_Outhouse |= The outhouse can be used to remove certain temporary traits such as Flatulence, and may even have other uses later which we won't spoil...
Bubble_Name_Rootway |= Fae doorway
Bubble_Desc_Rootway |= Use these to fast travel around the land...if you have the right key...
Bubble_Name_LemonadeStand |= Lemonade stand
Bubble_Desc_LemonadeStand |= Use this to sell single items. Set your price, amount of time you are hiring the stall for, and wait.
Bubble_Name_BiddingPlatform |= Auction stand
Bubble_Desc_BiddingPlatform |= When an auction day is active, interact to join the auction and bid on animals. Each haven auctions different animal types. Find the information about when auctions are held and it will be added to your calendar.
Bubble_Name_MinigameHost |= Minigame host
Bubble_Desc_MinigameHost |= Interact to begin a minigame that can earn you prizes.
Bubble_Name_RacingBookie |= Racing counter
Bubble_Desc_RacingBookie |= Interact to pick a winner on races. Look at the animals and choose your favourite to win. There are bigger events to look out for with better prizes, and if you have the correct pet type following, you can enter them into the race. Each haven has different racing animal types. Check your calendar once you know when they take place.
Bubble_Name_FlourMill |= Millstone
Bubble_Desc_FlourMill |= Use the millstone to grind wheat into flour. Flour is used for baking, or can be sold. Higher star rating wheat does not improve quality, but yield. So a 5 star wheat gives 5 flour.
Bubble_Name_MailBox |= Boites aux lettres
Bubble_Desc_MailBox |= You can gift NPC's via their mailbox if you can't find them to gift/deliver an item in person. You can also receive letters about events, requests from villagers and shop-related notices from your own mailbox.
Bubble_Name_Noticeboard |= Noticeboard
Bubble_Desc_Noticeboard |= Interact with the Noticeboard to find notices for anything from villager requests to information on events and festivals.
Bubble_Name_SellingBox |= Selling Table
Bubble_Desc_SellingBox |= Use this to sell your relevant items to this shop to earn yourself some money.
Bubble_Name_MonumentStone |= Homestone
Bubble_Desc_MonumentStone |= Homestones can be looked at to show the current overall friendship level of a house. When you pass the threshold marker on the bar, you will be granted Permissions, which lets you use their crop squares, pick their crops and berries and use their stoves.
Bubble_Name_GoodsStorage |= Stock Cupboard
Bubble_Desc_GoodsStorage |= Use the stock cupboard to store items that the shop workers can use to fill the shelves when they empty. You can also order stock from here.

GS_Stock01Title |= Goods Store Stock 01
GS_Stock01Desc |= Order from a selection of common items
GS_Stock02Title |= Goods Store Stock 02
GS_Stock02Desc |= Order from a selection of rare items
GS_Stock03Title |= Goods Store Stock 03
GS_Stock03Desc |= Order from a larger selection of rare items
GS_Stock04Title |= Goods Store Stock 04
GS_Stock04Desc |= Order from a selection of Fae items
GS_StockQuality01Title |= Stock Quality 01
GS_StockQuality01Desc |= Player can order a Goodstore Normal Box
GS_StockQuality02Title |= Stock Quality 02
GS_StockQuality02Desc |= Player can order a Goodstore Premium Box
GS_StockQuality03Title |= Stock Quality 03
GS_StockQuality03Desc |= The price of Boxes is reduced
GS_DeliveryTime01Title |= Delivery Time 01
GS_DeliveryTime01Desc |= Stock only takes 2 days for delivery
GS_DeliveryTime02Title |= Delivery Time 02
GS_DeliveryTime02Desc |= Stock only takes 1 day for delivery
GS_Staff01Title |= Goods Store Staff Training 01
GS_Staff01Desc |= When working, Staff gain a +3 to Barter
GS_Staff02Title |= Goods Store Staff Training 02
GS_Staff02Desc |= When working, Staff gain a +3 to Speed
GS_Staff03Title |= Goods Store Staff Training 03
GS_Staff03Desc |= When working, Staff gain a +5 to Barter & Speed
GS_CustomerExp01Title |= Customer Experience 01
GS_CustomerExp01Desc |= Named customers provide a small brass bonus on each sale the friendlier they are with you
GS_CustomerExp02Title |= Customer Experience 02
GS_CustomerExp02Desc |= Named customers give less of a reputation drop when unhappy the friendlier they are with you
GS_CustomerExp03Title |= Customer Experience 03
GS_CustomerExp03Desc |= Named customers provide a small reputation bonus on each sale the friendlier they are with you
GS_WindowShopperTitle |= Local Dealer 01
GS_WindowShopperDesc |= Visitors to the shop are more likely to sell you higher quality items
GS_PeoplePersonTitle |= People Person 01
GS_PeoplePersonDesc |= Customers have a much higher chance of purchasing window display items
GS_Merchant01Title |= Merchant 01
GS_Merchant01Desc |= Price lowered for stock - Budget Box
GS_Merchant02Title |= Merchant 02
GS_Merchant02Desc |= Price lowered for stock - Normal Box
GS_Morale01Title |= Morale 01
GS_Morale01Desc |= Staff gain +1 to Stamina with every 2 levels of friendship
GS_Morale02Title |= Morale 02
GS_Morale02Desc |= Staff gain +2 to all stats when their Mood is good. This boost is retained outside of work
GS_VendiVidiVici01Title |= Vendi Vidi Vici 01
GS_VendiVidiVici01Desc |= A random item is gifted every day and left on the tree stump outside
GS_VendiVidiVici02Title |= Vendi Vidi Vici 02
GS_VendiVidiVici02Desc |= A bundle of items is gifted every day and left on the tree stump outside
GS_VendiVidiVici03Title |= Vendi Vidi Vici 03
GS_VendiVidiVici03Desc |= The items gifted will match the quality of the highest quality item you sold the previous day

BS_Stock01Title |= Blacksmith Stock 01
BS_Stock01Desc |= Order from a selection of ores & items
BS_Stock02Title |= Blacksmith Stock 02
BS_Stock02Desc |= Order from a larger selection of ores & items
BS_Stock03Title |= Blacksmith Stock 03
BS_Stock03Desc |= Order from an even larger selection of ores & items
BS_Stock04Title |= Blacksmith Stock 04
BS_Stock04Desc |= Order from a selection of Fae ores
BS_StockQuality01Title |= Stock Quality 01
BS_StockQuality01Desc |= Player can order a Blacksmith Normal Box
BS_StockQuality02Title |= Stock Quality 02
BS_StockQuality02Desc |= Player can order a Blacksmith Premium Box
BS_StockQuality03Title |= Stock Quality 03
BS_StockQuality03Desc |= The price of Boxes is reduced
BS_DeliveryTime01Title |= Delivery Time 01
BS_DeliveryTime01Desc |= Stock only takes 2 days for delivery
BS_DeliveryTime02Title |= Delivery Time 02
BS_DeliveryTime02Desc |= Stock only takes 1 day for delivery
BS_Staff01Title |= Blacksmith Staff Training 01
BS_Staff01Desc |= When working, Staff gain a +3 to Strength
BS_Staff02Title |= Blacksmith Staff Training 02
BS_Staff02Desc |= When working, Staff gain a +3 to Accuracy
BS_Staff03Title |= Blacksmith Staff Training 03
BS_Staff03Desc |= When working, Staff gain a +5 to Strength & Accuracy
BS_CustomerExp01Title |= Customer Experience 01
BS_CustomerExp01Desc |= Named customers provide a small brass bonus on each sale the friendlier they are with you
BS_CustomerExp02Title |= Customer Experience 02
BS_CustomerExp02Desc |= Named customers give less of a reputation drop when unhappy the friendlier they are with you
BS_CustomerExp03Title |= Customer Experience 03
BS_CustomerExp03Desc |= Named customers provide a small reputation bonus on each sale the friendlier they are with you
