JournalInstructionsTitle |= Journal
Day1FWT2 |= Nous parlerons à nouveau alors que Summertide s'estompera et vos yeux fermés s'ouvriront. Maintenant réveille-toi!
Day1PottT0 |= Réveillez-vous.
KynseedContract |= En devenant propriétaire du KYNSEED, vous acceptez les stipulations de ce contrat.\nLe Kynseed vous permettra de VOIR et de PARLER avec tous les FAE et de développer votre ARBRE GÉNÉALOGIQUE.\nVos enfants perpétueront votre héritage et au fur et à mesure que votre arbre grandira, votre pouvoir aussi.\nUne fois planté, le contrat commence. Vous pouvez déraciner le Kynseed et le transmettre à n'importe lequel de vos enfants majeurs et les rejoindre en esprit, continuant ainsi à surveiller votre lignée.\nEn échange du Kynseed, le jour de votre 50e anniversaire, vous acceptez volontairement de donner votre corps à M. Fairweather. Chaque héritier qui hérite du Kynseed doit faire de même.\nSi vous n'avez pas d'héritier à qui transmettre le Kynseed, un orphelin vous sera proposé pour prendre votre place.\nSi vous décédez avant l'heure, M. Fairweather s'engage à vous faire revivre au coût d'1 an de votre VIE.\nCe contrat vous engage à la signature de ce document.\nLe coût initial du Kynseed est de 5 ans de votre vie, payable d'avance.\nL'impôt sur la vie est payable à la fin de chaque année civile humaine.\ nSigné M. Fairweather.
HappyBirthdayHeader |= Joyeux Anniversaire
HappyBirthdayText |= Quelle tournure des événements !\nWillowdown Farm est maintenant à toi !\nTu pourras élever une famille ici et l'utiliser comme base d'opérations.\nPour l'instant, cependant, dirige-toi vers l'étang à l'ouest de ta maison et sur la crête de la colline, plante le Kynseed sur place.\nTu peux également quitter le Vale si tu le souhaites, car tu es maintenant majeur, alors n'hésite pas à explorer le monde au-delà ! Mieux encore, tu ne t'endormiras pas à 23h ! Le printemps est là. Profite bien du reste de ton anniversaire...
Old JacobAfterSummertide |=  Je vais être honnête, j'avais peur. Je suis content que tu ne m'aies pas choisi. Je pense que vivre près des tombes des anciennes religions m'avait affecté. J'espère ne pas me faire maudire pour avoir dit ça !
Ginger NuttAfterSummertide |= Oh, comme j'aurais aimé etre le Messager ! Je ne vous blâme pas pour un choix difficile, cependant. Les Déesses vous ont choisies avec sagesse pour cette tâche, et vous n'avez pas faibli. Le sourire édenté de Jacob me manquera.
Uncle BillAfterSummertide |= Votre sibling n'a pas très bien pris cela, mais vous l'avez fait magnifiquement. Ils s'en remettront et se rendront compte que c'est l'ordre naturel des choses. C'est la voie de notre monde. Ne vous inquiétez pas pour eux, ils sont probablement juste allés quelque part pour réfléchir.
Uncle BillGeneral_PAD |= Si vous plantez des graines, n'oubliez pas de tenir A sur une parcelle de terre vide, puis choisissez la graine.
Uncle BillGeneral_PAD |= Comment est ton statut avec les animaux ? Ils peuvent être un peu grincheux si vous ne les traitez pas bien. Vérifiez en utilisant la gâchette gauche la prochaine fois que vous serez à proximité...
Uncle BillGeneral_PAD |= Si vous ne savez pas où creuser, cherchez un monticule où le chien a gratté.
Uncle BillGeneral_KBM |= Si vous plantez des graines, n'oubliez pas de cliquer sur le Bouton Gauche de la souris sur une parcelle de terre vide, puis choisissez la graine.
Uncle BillGeneral_KBM |= Comment est ton statut avec les animaux ? Ils peuvent être un peu grincheux si vous ne les traitez pas bien. Vérifiez en utilisant la Commande Gauche ou F la prochaine fois que vous êtes à proximité, ou affichez l'état avec le Sifflet pour animaux de compagnie sur l'onglet ou RB.
Uncle BillGeneral_KBM |= Si vous ne savez pas où creuser, cherchez un monticule où le chien a gratté.
Uncle BillGeneral |= En panne de tâches ? Eh bien, allez explorer un peu alors. Vous avez besoin d'exercice!
Uncle BillGeneral |= Cette vache ne me donnera jamais de lait, mais je continuerai d'essayer jusqu'à ce que ses mamelles tombent !
Uncle BillGeneral |= Tout fait, hein ? C'est toujours bon de pêcher un peu. Plus d'expérience peut vraiment faire la différence !
Uncle BillIll |= Hey *tousse* Je ne me sens pas si bien en ce moment... J'ai besoin d'une bonne herbe ou racine. Je suppose que vous ne pouvez pas les retrouver ? Ou peut-être que l'Apothicaire peut vous aider ? *Tousse tousse*
TaskRewardMention |= Je laisserai l'argent de votre tâche à votre chevet, prêt à être récupéré le matin.
Uncle BillTask0 |= Ces cochons sont vraiment faciles à satisfaire; essayez de leur procurer des fruits ou des légumes, pas trop, attention !
Uncle BillTask1 |= N'oubliez pas que l'heure du coucher est à 23h. Lorsque vous avez plus de 18 ans, vous pourrez veiller aussi tard que vous le souhaitez !
Uncle BillTask2 |= Sniff préfère quelque chose de charnu; pouvez-vous trouver un moyen de le nourrir?
Uncle BillTask3 |= Pourriez-vous régler ce problème ? Prenez de l'eau du puits et versez-la. Ne les laissez pas trop longtemps sans eau fraîche.
Uncle BillTask4 |= Lorsqu'il fait noir, n'oubliez pas que la lanterne a une mise au point sur le Stick Droit de la caméra ou en éloignant le curseur de la souris de vous.
Uncle BillTask5 |= Arrosez les cultures quotidiennement pour qu'elles grandissent et soient savoureuses.
Uncle BillTask6 |= Je pense que ces abeilles amassent du miel. J'adore un pot de sucreries.
Uncle BillTask7 |= Il y a quelques ossements enterrés autour de cette zone. Ce n'était pas moi ! Les chiens sont les meilleurs pour renifler les choses.
Uncle BillTask8_PAD |= Récoltez les récoltes quand elles sont mûres et prêtes. Maintenez la Gâchette Gauche pour vérifier leur statut ! N'oubliez pas d'utiliser la faucille !
Uncle BillTask8_KBM |= Récoltez les récoltes quand elles sont mûres et prêtes. Maintenez la touche de Contrôle Gauche pour vérifier leur statut ! N'oubliez pas d'utiliser la faucille !
Uncle BillTask9 |= Faire des recettes, c'est avant tout avoir les bons ingrédients. Heureusement que notre ferme en regorge !
Uncle BillHealed |= BURP! Ca a fait l'affaire! Merci beaucoup. Je savais que vous amener ici tous les 2 serait une bénédiction. Druida soit loué.
SiblingHealed |= Il était temps que tu fasses quelque chose de bien. Bon travail.
Uncle BillIllNoHeal |= J'ai besoin de quelque chose de plus fort pour cette maladie...
Uncle BillInteract |= Nourrir les cochons et arroser les cultures n'est peut-être pas le travail le plus passionnant au monde, mais c'est une bonne et honnête vie. À moins que vous ne nourrissiez un cochon malhonnête, je suppose. C'est plutôt une zone grise.
Uncle BillInteract |= J'ai travaillé sur cette ferme toute ma vie. J'y ai mis ma vie et mon âme. Je ne peux pas vous dire à quel point c'est bon de savoir qu'il restera dans la famille quand vous en hériterez tous les 2.
Uncle BillInteract |= Rien n'a aussi bon goût que quelque chose que vous avez cultivé vous-même. Dans le sol, je veux dire. Vous ne voulez pas manger vos propres verrues.
Uncle BillInteract |= Le Vale est plein de gens honnêtes. Même la dame avec tous les chats. Bien que vous voudriez peut-être vous boucher le nez si vous lui rendez visite. Tout l'endroit est un bac à litière.
Uncle BillInteract |= Ta tante Rose me manque tellement. Mais elle est dans un meilleur endroit maintenant, juste à côté de Druida. Depuis que j'ai commencé à la courtiser, je savais qu'elle était trop spéciale pour la garder pour moi, je suppose.
Uncle BillInteract |= Nous avons eu de mauvaises années à la ferme, je ne vais pas mentir. La fois où nous avons eu une sécheresse, ce n'était pas un pique-nique. Et l'été où tout le Vale a été attaqué par des criquets a été encore pire. Mais tant que nous ferons de Summertide un succès, je suis sûr que tout se passera bien cette année.
Uncle BillInteract |= Je me souviens quand j'avais ton âge. Je n'aimais pas beaucoup tout ce discours sur les déesses et autres. Ensuite, j'ai fait une offrande à l'une des statues et j'ai trouvé une pièce de monnaie en laiton le jour même. C'était celui que j'avais perdu la veille, mais quand même.
Uncle BillInteract |= Dommage que tu n'aies jamais goûté à la cuisine de ta tante Rose. Les choses qu'elle pouvait faire avec un navet. Comme le faire cuire jusqu'à ce qu'il soit prêt à manger!
Uncle BillInteract |= J'étais plutôt bon pêcheur à l'époque. Ma spécialité était la Tanche d'Offal. Les petits bougres délicats, laissez-moi vous dire. Bien sûr, il y en avait plus à l'époque. Peut-être que j'en ai attrapé trop, haha!
Uncle BillInteract |= Tu sais, Quill est bien plus grand que Le Vale. Vous pourrez peut-être en voir un bout vous-même un jour avec un peu de chance. Moi et ta tante Rose avions toujours prévu de voyager, mais nous ne pouvions tout simplement pas nous permettre de quitter la ferme aussi longtemps.
Uncle BillInteract |= Vous avez déjà rencontré Lucy Arrows? Certaines personnes pensent qu'elle est un peu drole, avec toutes ces histoires de regarder dans le passé et tout. Comme si quelque chose était différent à l'époque ! Mais tout le monde a besoin de ses passe-temps.
Uncle BillInteract |= Ce type au nord de la ferme - il s'appelle Twig - s'y connaît un peu en pêche. Je t'apprendrais bien moi-même, mais j'ai bien peur d'avoir perdu le talent. Il a l'air d'un type étrange mais assez inoffensif.
Uncle BillInteract |= La dernière fois que j'ai vu ta tante Rose, c'était à Summertide, donc c'est un jour très spécial pour moi. D'une certaine manière, c'est aussi une célébration d'elle.
Uncle BillInteract |= Mes parents ont cultivé cette terre avant moi, et ainsi de suite à travers les générations. Autant que je sache, elle est là depuis le début des temps et continuera jusqu'à la fin des temps.
Uncle BillInteract |= Parfois je me demande si c'était la bonne chose à faire de t'amener des enfants ici. Mais quelque chose m'a dit que je devais le faire. C'était peut-être Druida elle-même.
Uncle BillInteractIll |= *tousse* Je n'arrive pas à me débarrasser de la fièvre qui s'est emparée de moi. Avez-vous de la chance de trouver une herbe réparatrice chez l'Apothicaire ?
Uncle BillInteractIll |= Je me sens comme la mort elle-même aujourd'hui *tousse*. En supposant que la mort a une toux assourdissante et une sensation de malaise partout. J'aurais bien besoin d'un élixir naturel *tousse, tousse* pour chasser les humeurs nauséabondes.
Uncle BillInteractIll |= *tousse* Toujours pas de tonique revitalisant pour ma mystérieuse maladie? J'ai vraiment dû mal agir avec Druida pour qu'elle me tourne le dos comme ça.
Uncle BillInteractIll |= *tousse, tousse* Je suppose que je vais devoir apprendre à vivre avec cette maladie ennuyeuse...
SiblingInteract |= Veux-tu entendre parler de ce rêve que j'ai fait ? C'est un peu flou maintenant, mais je marchais dans les bois, et cette voix n'arrêtait pas de me parler. Je pense qu'il disait que j'allais vivre éternellement. N'est-ce pas idiot?
SiblingInteract |= Si tu te promenes et qu'il fait noir, il y a une lanterne de rechange dans la maison, à moins que tu ne l'aies déjà trouvée. Tu peux même focaliser leurs faisceaux! Le monde moderne dans lequel nous vivons, hein?
SiblingInteract |= Travailler dans une ferme n'est pas si mal, mais il n'y a toujours pas moyen que j'aille dans la porcherie. Tu as perdu au tirage au sort le premier jour où nous sommes arrivés ici, et nous n'allons pas changer!
SiblingInteract |= Ça fait du bien d'aider Oncle Bill. Je pense que la ferme lui coute trop. J'espère ne jamais vieillir comme ça!
SiblingInteract |= Les enfants du village disent que Lucy Arrows est une sorcière, mais ce n'est absolument pas le cas. Ils n'aiment tout simplement pas ceux qui sont trop intelligents. Ce qui veut dire qu'ils doivent beaucoup t'apprécier! Ha ha!
SiblingInteract |= La Shoe te manque parfois? Ça ressemble déjà à une autre vie, mais parfois je me réveille en pensant qu'on est toujours là. Puis je me rends compte que je n'ai pas le pied de quelqu'un qui me colle à l'oeil et je me souviens que nous sommes partis.
SiblingInteract |= As-tu vu ce grand homme en bois dans Festival Green? De quoi s'agit-il? C'est comme si un bébé géant faisait tomber sa poupée.
SiblingInteract |= Je vois l'oncle Bill avoir l'air triste parfois. Je pense qu'il se souvient de tante Rose. J'aurais aimé la connaître, pas toi?
SiblingInteract |= J'ai fait mes propres cartes du Vale, mais je veux en voir plus. Qui sait ce qu'il y a d'autre là-bas. Quill est très grand!
SiblingInteract |= Je ne suis pas sûr de toute cette histoire de Summertide. La nuit dernière, j'ai fait un autre rêve étrange, et c'était le festival, et tout le monde dans le village agissait bizarrement. Juste un cauchemar, je suppose.
SiblingInteract |= Pourquoi pensez-vous que l'oncle Bill nous a choisis pour venir ici? Était-ce juste de la chance? Est-ce parce que nous sommes jumeaux? Ou y a-t-il autre chose qui se passe dont même oncle Bill n'est pas au courant?
SiblingInteract |= J'ai hâte d'être assez vieux pour quitter la ferme. Je n'arrête pas de rêver de tous les endroits qu'il y a à explorer et de toutes les choses que je pourrai faire un jour. Mais nous sommes toujours coincés ici...
SiblingInteractAfterNorthGate |= Vous pouvez rester et être fermier pour le reste de votre vie si vous le souhaitez. Mais pas moi.
SiblingInteractAfterNorthGate |= Le Vale est un endroit tellement stupide. Un jour je vais m'enfuir, tu verras. Tu peux venir si tu veux, mais tu ne dois pas en parler.
SiblingInteractAfterNorthGate |= Nous avons donc enfin la chance de voir en quoi consistent ces bétises de Summertide. Je parie que c'est juste tous les crétins de la ville qui mangent des fruits jusqu'à ce qu'ils éclatent. Mais si c'est quelque chose comme le rêve que j'ai fait la nuit dernière...
NPCRidingPigReaction |= Attention avec ça
NPCRidingPigReaction |= Avez-vous réussi votre examen d'aptitude à monter des cochons ?
NPCRidingPigReaction |= Chevauchez prudemment!
NPCRidingPigReaction |= Regardez ce cochon volant!
NPCRidingPigReaction |= Trottons ensemble!
NPCRidingPigReaction |= Ce cochon sent le poivre
NPCRidingPigReaction |= Woah la!
NPCRidingPigReaction |= Lard!
Uncle BillNowHoldUpFish |= Je vois que vous avez un poisson; appuyez sur le bouton de l'emplacement qui lui est attribué pour le maintenir en place.
AnimalCurseTrumpet |= ****
TraderSoldItem |= Excellent choix (si vous ignorez la moisissure dessus)!
TraderSoldItem |= Vous ne le regretterez pas (du moins pas avant que je sois loin... *tousse*)!
TraderSoldItem |= C'est un plaisir de vous refourguer ca!
PottDay1 |= Salut là-bas, rêveur.\nMon nom est Pott, amusons-nous.\nOn m'a confié une mission spéciale,\nIl faut poser des questions intrigantes!
PottDay1 |= Passez la porte avec un visage brave,\nEntrez dans un endroit très spécial.\nJe vous rencontrerai et vous donnerai des choix,\nAlors écoutez vos voix intérieures.
PottDay1 |= Allez maintenant enfant et ne soyez pas triste,\nVisitez les Bois-de-Ce-Qui-Va-Venir,\nEnsuite, lorsque vous vous réveillerez et que nous devrons nous séparer,\nLa vérité sera connue dans votre cœur.
Uncle BillNoQueries |= Plus de questions aujourd'hui...
ToiletNoise |= <anim_wave>*Parp*
ToiletNoise |= <anim_wave>*Toot*
ToiletNoise |= <anim_wave>*Barooom*
ToiletNoise |= <anim_wave>*Frrrp*
ToiletNoise |= <anim_wave>*Honk*
MarketSeller |= Achetez vos marchandises ici!
MarketSeller |= Marchandises fraiches ici!
RemTitleThattaway |= Thatterway
BottleContentContainsHONEY |= Contient du Miel
BottleContentContainsMILK |= Contient du Lait
BottleContentContainsWATER |= Contient de l'eau
BottleContentContainsPIGPOOP |= Contient du Caca de Cochon
BottleContentContainsSHEEPPOOP |= Contient du Caca de Mouton
BottleContentContainsYUM |= Contient du Yum
BottleContentContainsEMPTY |= Vide
BottleContentContainsBUMPA_MILK |= Contient du Lait Bumpa Milk
BottleContentContainsCLEANSING_WATER |= Contient de l'Eau Nettoyante
BottleContentContainsBLESSED_WATER |= Contient de l'Eau Bénite
BottleContentHONEY |= Miel
BottleContentMILK |= Lait
BottleContentWATER |= Eau
BottleContentPIGPOOP |= Caca de Cochon
BottleContentSHEEPPOOP |= Caca de Mouton
BottleContentYUM |= Yum
BottleContentEMPTY |= Vide
BottleContentBUMPA_MILK |= Bumpa Milk
BottleContentCLEANSING_WATER |= Eau Nettoyante
BottleContentBLESSED_WATER |= Eau Bénite
CalendarEventInAllHavens |= Tous les Refuges
FarmingSignpost_PAD |= Appuyer sur le Gâchette gauche pour voir l'état de la culture. Plantez des graines sur des parcelles de sol vides en tenant A!
FarmingSignpost_KBM |= Appuyer sur la Commande gauche pour voir l'état de la culture. Plantez des graines sur des parcelles de sol vides en maintenant E!
MapstoneInstructions |= Découvrez toutes les pierres cartographiques d'un niveau pour acquérir comme par magie une image de toute la région.
MoonINTRO |= Ahhh, le Jeune Plant ! Un honneur de vous avoir visiter mon petit coin tranquille. Bienvenue à Hunter's Bluff. Je m'appelle Moon et je suis le maître du tir à l'arc. J'ai regardé dans le Mirryr et j'ai reçu la bénédiction des Déesses. Maintenant, je suis ici pour enseigner à ceux qui veulent apprendre la grâce du chasseur.
MoonINTRO |= Je dois évaluer vos compétences avant de pouvoir vous donner l'outil dont vous avez besoin pour percer le coeur de votre proie. Rejoins l'étang à l'ouest d'ici et frappe la cible. Je vous suggère d'utiliser une fronde. Une fois que vous avez touché la cible, d'autres apparaitront. Essayer d'atteindre 75 points. Les cibles plus petites valent plus. Vous n'avez que 15 tirs. Que votre oeil intérieur vous guide.
MoonTARGETHIT |= Ahhh, vous avez fait un bon score! Un jour vos flèches chanteront dans l'air comme un choeur. Chaque archer a besoin d'un arc, alors voici le vôtre comme promis. Retrouvez-moi dans le tumulus en bas de la pente à l'ouest de Drownhill, et je vous montrerai à quel point votre arc peut vous aider à ouvrir vos options stratégiques au combat.
MoonBARROW |= Ahhh, vous voici. Il est temps de vous initier à la voie du chasseur.
MoonCOMBAT_ITEMS |= Tenez, prenez ca. Un cadeau de ma part pour vous aider à démarrer. Si vous avez besoin de plus, un apothicaire pourra peut-être vous aider ou vous pouvez essayer de créer le vôtre.
JogonCOMBAT_ITEMS |= À l'avenir, je pourrai vous enseigner certaines compétences, mais pour l'instant, voici quelques objets de combat pour vous aider sur votre chemin. Je les ai eues chez l'apothicaire, ou vous pouvez en fabriquer vous-même si vous savez ce que vous faites.
Toby JuggINTRO |= Tiens! Tu es l'un des jumeaux Willowdown, n'est-ce pas? Dommage que vous ne soyez pas assez vieux pour fréquenter ma taverne. Nous ne servons pas les mineurs, mais nous servons les mineurs. Quoi qu'il en soit, ma fille Melanie dirige l'endroit maintenant. Elle a un bien meilleur sens des affaires que je ne l'ai jamais eu.
Melanie JuggINTRO |= Bienvenue dans le Vale. Je suis la propriétaire du Flailing Arms, le pub du village, et vous avez probablement vu mon père Toby s'affairer. Je ne peux pas vous servir de boissons, mais bienvenue. Nous avons les gentils ivrognes de tout Quill.
Boots WintersINTRO |= Ah, bienvenue, bienvenue ! Une autre victime potentielle des malédictions et des maux dans lesquels les gens simples tombent souvent tête baissée. Nous sommes les meilleurs du Vale... eeet les seuls du Vale.
Lemmy SippINTRO |= Eh bien, tu as l'air en assez bonne santé, je suppose. Mais vous ne savez jamais quand vous pourriez vous retrouver soudainement avec un surplus de sang aigu ou un état miasmique imprévu. Continuez simplement à honorer Druida, et vous ne devriez pas avoir beaucoup besoin de mes services.
Icabod MoonINTRO |= Les salutations! Je suis Icabod, marchand et vendeur de marchandises. Je suis venu de très loin dans le Vale et je me suis trouvé un trou dans le marché. Une fois que j'ai comblé le trou, j'ai construit un étal et j'ai fini par monter là où je suis maintenant, c'est-à-dire ici.
Jeremie SmithINTRO |= Oh, je sais tout sur vous. Les nouvelles vont vite ici - c'est à peu près la seule chose qui le fasse. Nous aimons prendre les choses lentement, voyez-vous. Mais si vous avez besoin de quelque chose fabriqué dans ma forge, je ne vous ferai pas attendre. Et s'il y a quelque chose que vous voulez dans notre boutique, demandez à Geoffrey. Je les martèle; il les vend.
Geoffrey BlackINTRO |= Eh bien, vous etes l'un de ces freluquets que le vieux Bill a accueillis. Nous avons fait beaucoup d'affaires avec la ferme Willowdown au fil des ans. Des faucilles, des piques, encore des piques... et diverses autres choses de fer. Si Jérémie peut le forger, je peux le flageller.
Pappy CoweINTRO |= Qu'est-ce que vous voulez? J'en ai eu assez de ces coquins alors je me suis installé dans mon propre petit cabanon. Par les aisselles de Druida, laissez ce vieux gueux tranquille et en paix!
Pat CoweINTRO |= Je n'ai besoin de personne de cette ferme Willowy autour de chez nous. Et ne dérange pas le vieux Pappy!
Tom CoweINTRO |= Autour de chez nous, vous faites ce que dit ma femme, ou vous aurez des coups de rouleau. Et je suppose que ma femme vous a dit de disparaitre.
Milly CoweINTRO |= Ne serais-tu pas l'un d'entre eux? Qu'est-il arrivé? Ton père et ta mère t'ont abandonné dans les bois? Je peux voir pourquoi!
Billy CoweINTRO |= Je ne suis pas censé parler aux étrangers, et tu es aussi étrange que de la bouse de vache bleue. Alors allez-vous en et disparaissez!
